PMC_ID,repo_ID
1101_020578,GPL6679
1101_020578,GPL534
1101_020578,GPL189
1101_020578,GSE6712
1101_020578,GSE10440
1101_020578,GPL189
1101_020636,SRX011608
1101_020636,SRX011609
1101_020636,SRX011610
1101_020636,SRX011611
1101_021725,GSE25107
1101_021733,TCGA
1101_021733,TCGA
1101_021733,TCGA
1101_021733,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,GSE6764
1101_022491,GSE3933
1101_022491,GSE6099
1101_022491,GSE3933
1101_022491,GSE6099
1101_022491,GSE6764
1101_022491,GSE6764
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,TCGA
1101_022491,GSE6764
1101_022491,GSE6764
1101_022491,GSE6764
1101_022491,GSE6099
1101_022491,GSE3933
1101_022491,GSE3933
1101_022491,GSE6099
1101_023317,GSE18199
1101_023374,ERP001960
1101_023374,ERP001960
1101_023754,ERR174327
1101_023788,PRJNA288374
1101_024430,TCGA
1101_024430,TCGA
1101_024430,TCGA
1101_024430,TCGA
1101_024430,TCGA
1101_024430,TCGA
1101_024448,TCGA
1101_024679,ERR194147
1101_024679,SRR100173
1101_024679,SRR100173
1101_024844,GSE66395
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_025908,TCGA
1101_026302,TCGA
1101_026708,GSE29356
1101_026708,GSE22570
1101_026708,GSE23905
1101_026708,GSE26545
1101_026708,GSE25162
1101_026708,GSE37185
1101_026856,DRA000344
1101_026856,DRA000344
1101_027060,TCGA
1101_027060,TCGA
1101_027060,TCGA
1101_027060,TCGA
1101_027060,TCGA
1101_027508,GSE73364
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027524,TCGA
1101_027607,SRR2080278
1101_027607,SRR2106399
1101_027607,SRR2080278
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028159,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,GSE4271
1101_028415,GSE13041
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028415,TCGA
1101_028696,SRR407172
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_028878,GTEx
1101_029132,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GSE3087
1101_029553,GSE2814
1101_029553,GSE3086
1101_029553,GSE3088
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_029553,GTEx
1101_030999,GSE63525
1101_031021,ERR250949
1101_031021,ERR250440
1101_031021,ERR250440
1101_031021,ERP002490
1101_031021,ERP002490
1101_031088,GSL5
1101_031096,SRX668436
1101_031096,SRX668453
1101_031096,SRX671569
1101_031096,SRX668467
1101_031187,GTEx
1101_031302,TCGA
1101_031302,SRP065821
