journalName,orig,reuse
Bioinformatics,305,97
BMC_Bioinformatics,2083,1064
BMC_Genomics,8417,1190
BMC_Syst_Biol,396,188
Genome_Biol,2446,424
Genome_Med,347,168
Nat_Biotechnol,92,14
Nat_Methods,195,53
Nucleic_Acids_Res,2621,726
PLoS_Comput_Biol,491,316
