pmc_ID,accession
PMC4214606,SRX101672
PMC4214606,SRX092157
PMC4214606,SRX092159
PMC4214606,SRX092158
PMC4214606,SRX092158
PMC4214606,SRX092159
PMC4214606,SRX101672
PMC4214606,SRX099247
PMC4214606,SRX101205
PMC4214606,SRX101272
PMC4214606,SRX101273
PMC4214606,SRX101274
PMC4214606,SRX101275
PMC4214606,SRX103458
PMC4214606,SRX101672
PMC4214606,SRX092157
PMC4214606,SRX092159
PMC4214606,SRX092158
PMC4409740,PRJNA202380
PMC4415297,GSE50081
PMC4415297,GSE50081
PMC4411706,SRR000294
PMC4411706,SRR000291
PMC4411706,SRR000328
PMC4411706,SRR000331
PMC4545970,SRX952269
PMC4545970,SRX952269
PMC4572633,GSM127863
PMC4572633,GSM127863
PMC4572633,GSM127863
PMC4572633,GSM127863
PMC4599653,GPL96
PMC4599653,GPL96
PMC4710016,SRP059219
PMC4710016,SRR2054788
PMC4710016,SRR2054787
PMC4862193,SRR405089
PMC4862193,SRR405091
PMC4862193,SRR522871
PMC4862193,SRR522872
PMC4862193,SRR522896
PMC4862193,SRR522897
PMC4862193,SRR392998
PMC4862193,SRR393000
PMC4862193,SRR393006
PMC4862193,SRR393008
PMC4862193,SRR407274
PMC4862193,SRR407276
PMC4862193,SRR364364
PMC4862193,SRR364366
PMC4862193,SRR364368
PMC4862193,SRR407637
PMC4862193,SRR407638
PMC4862193,SRR618770
PMC4862193,SRR618771
PMC4862193,SRR619099
PMC4862193,SRR619100
PMC4862193,SRR970490
PMC4862193,SRR970538
PMC4862193,SRR1173905
PMC4862193,SRR1173909
PMC4862193,SRR315620
PMC4862193,SRR315623
PMC4862193,SRR315601
PMC4862193,SRR315624
PMC4862193,SRR315627
PMC4862193,SRR014374
PMC4862193,SRR014377
PMC4862193,SRR387904
PMC4862193,SRR387905
PMC4862193,SRR1040415
PMC4862193,SRR1040423
PMC4862193,SRR1040427
PMC4862193,SRR948553
PMC4862193,SRR948555
PMC4862193,GSM125997
PMC4862193,GSM854439
PMC5027095,GSE30567
PMC5027095,ERP002100
PMC5078909,GSE47851
PMC5078909,GSE54932
PMC5078909,GSE53398
PMC5078909,GSE47851
PMC5078909,GSE54932
PMC5078909,GSE53398
PMC5078909,GSE47851
PMC5078909,GSE54932
PMC5078909,GSE53398
PMC5078909,GSE47851
PMC5078909,GSE54932
PMC5078909,GSE53398
PMC5078909,GSE47851
PMC5078909,GSE54932
PMC5078909,GSE53398
PMC5078909,GSE54932
PMC4355521,GSE6846
PMC4355521,GSE27379
PMC4355521,GSE28651
PMC4355521,GSM157835
PMC4355521,GSM157837
PMC4355521,GSM677065
PMC4355521,GSM677065
PMC4355521,GSM709834
PMC4355521,GSM709836
PMC4355521,GSM709832
PMC4355521,GSM709833
PMC3472322,SRP008452
PMC3472322,SRX028651
PMC3574835,GSM647184
PMC5392957,SRP067296
PMC5480421,GSE26342
PMC5480421,GSE7410
PMC5480421,GSE9750
PMC5480421,GSE6791
PMC5480421,GSE7803
PMC5480421,GSE7410
PMC5480421,GSE6791
PMC5480421,GSE7803
PMC5480421,GDS3233
PMC5480421,GSE29009
PMC5480421,GSE7410
PMC5480421,GSE9750
PMC5480421,GSE6791
PMC5480421,GSE7803
PMC5480421,GSE60568
PMC5591544,PRJNA201497
PMC5591544,PRJNA345530
PMC5591544,PRJNA245226
PMC5591544,PRJNA201497
PMC5591544,PRJNA345530
PMC5644247,SRX2596625
PMC5644247,SRX2596624
PMC5644247,SRR2733100
PMC5644247,SRR1573934
PMC5644247,SRR1573935
PMC5644247,SRX2596625
PMC5644247,SRX2596624
PMC5809866,GSE67074
PMC5809866,GSE47774
PMC5809866,GSE47774
PMC5822623,GSE22260
PMC5822623,GSE50760
PMC5822623,GSE87340
PMC5822623,GSE50760
PMC5822623,GSE22260
PMC5822623,GSE87340
PMC5822623,GSE22260
PMC5822623,GSE50760
PMC5822623,GSE87340
PMC5907722,GSE45480
PMC5907722,GSE56109
PMC5907722,GSE25771
PMC5907722,GSE35953
PMC5944035,PRJNA301589
PMC5944035,PRJNA271013
PMC5944035,PRJNA301589
PMC5944035,PRJNA271013
PMC5977759,GSE49711
PMC5977759,GSE49711
PMC5992838,GSE49710
PMC5992838,GSE62564
PMC6106876,GSE49711
PMC6104016,SRR072232
PMC6104016,SRX034809
PMC6104016,SRR072232
PMC6104016,SRX034809
PMC6148774,GSE49711
PMC6148774,GSE25771
PMC6148774,GSE35951
PMC6148774,GSE45480
PMC6148774,GSE56109
PMC6466799,SRR3136159
PMC6466799,SRR3136185
PMC6466799,SRR3136188
PMC6466799,SRR3136190
PMC6466799,SRR3136192
PMC6489180,GSE49711
PMC6489180,GSE62564
