pmc,repoIDcount
PMC2628918,3
PMC2748086,1
PMC2827412,3
PMC3047303,4
PMC3420248,1
PMC4512094,18
PMC4443628,2
PMC4765060,1
PMC5210663,1
PMC4928799,1
PMC5217216,5
PMC5536358,2
PMC3469419,2
PMC3013706,25
PMC2253546,5
PMC4053848,4
PMC4460960,5
PMC5691387,14
PMC3443006,2
PMC3338085,3
PMC3111532,4
PMC3111532,4
PMC4335702,1
PMC4991082,2
PMC2582245,3
PMC2647556,2
PMC2788585,4
PMC3013720,7
PMC3191490,59
PMC3315298,11
PMC3305579,9
PMC3495651,3
PMC3658457,3
PMC3684512,17
PMC3880092,4
PMC4046673,64
PMC3965035,7
PMC4258272,5
PMC4411712,2
PMC4705686,4
PMC4959389,2
PMC5210615,21
PMC5210651,16
PMC4833304,5
PMC5691387,14
PMC5546725,5
PMC5673240,5
PMC5460432,2
PMC4165364,6
PMC3305579,9
PMC4046673,64
PMC1475850,32
PMC3098084,6
PMC4029357,9
PMC5001207,5
PMC5210651,16
PMC5691387,14
PMC4705743,3
PMC4210590,7
PMC3223368,1
PMC2034470,3
PMC2731892,2
PMC4175612,2
PMC4427925,2
PMC4236726,9
PMC5070125,2
PMC5418865,3
PMC5463356,2
PMC4299793,4
PMC4344238,2
PMC4650497,2
PMC4758018,4
PMC5361837,5
PMC5568345,2
PMC3128035,6
PMC4046673,64
PMC4029357,9
PMC2827412,3
PMC3013706,25
PMC4608100,3
PMC5559791,4
PMC2680204,9
PMC3848917,1
PMC3679940,1
PMC5512810,2
PMC5437678,4
PMC2935412,1
PMC3001403,1
PMC3533878,1
PMC4084410,1
PMC4098767,4
PMC4229977,1
PMC4279791,1
PMC3890548,1
PMC5181562,1
PMC4727405,2
PMC4952276,2
PMC4992570,1
PMC4934014,2
PMC4993001,2
PMC5217216,5
PMC463073,2
PMC4086142,1
PMC2823693,6
PMC2680204,9
PMC2895627,1
PMC3091634,3
PMC3224690,8
PMC3118165,1
PMC3579700,10
PMC4035072,3
PMC4331720,4
PMC3013706,25
PMC3640917,3
PMC5094014,1
PMC463073,2
PMC3013706,25
PMC3128035,6
PMC3453505,2
PMC3582595,2
PMC4236814,3
PMC3827844,8
PMC3013706,25
PMC3226198,1
PMC3013706,25
PMC3013706,25
PMC4784276,29
PMC2734321,1
PMC2859126,1
PMC2837031,1
PMC2910028,1
PMC2912304,1
PMC3064796,1
PMC3044310,3
PMC3094239,4
PMC3097161,1
PMC3315722,1
PMC3353834,1
PMC3464663,1
PMC3669619,1
PMC3680968,1
PMC3630213,1
PMC4002922,1
PMC3933069,2
PMC4028082,1
PMC4029093,1
PMC4459672,1
PMC4465016,1
PMC4359483,2
PMC4978931,1
PMC5069997,1
PMC4832472,3
PMC4858868,1
PMC4934014,2
PMC5389681,7
PMC5217216,5
PMC3013706,25
PMC3013706,25
PMC4625461,11
PMC3013720,7
PMC3575264,1
PMC2266913,1
PMC3019180,7
PMC3042180,4
PMC3315298,11
PMC5210615,21
PMC5673240,5
PMC3091705,3
PMC3499383,30
PMC3658956,3
PMC2633351,3
PMC2257943,10
PMC3013706,25
PMC2612026,2
PMC4051173,2
PMC2738690,2
PMC3239847,2
PMC2592712,4
PMC3479210,3
PMC2698874,7
PMC5210615,21
PMC4448272,3
PMC2748096,62
PMC545604,1
PMC555536,15
PMC1243798,2
PMC1458965,4
PMC2034470,3
PMC2528163,1
PMC3013706,25
PMC4797310,3
PMC4120146,1
PMC4248812,1
PMC4625728,23
PMC4787746,2
PMC5237151,12
PMC5310278,10
PMC2588606,2
PMC3226191,12
PMC2703656,4
PMC3226191,12
PMC2785841,2
PMC2792231,2
PMC3013706,25
PMC2265266,1
PMC2761903,16
PMC2680416,3
PMC2788367,16
PMC2709591,4
PMC3013720,7
PMC2845644,5
PMC3128035,6
PMC3178546,16
PMC3315298,11
PMC3116899,11
PMC3443452,11
PMC3568420,10
PMC3305579,9
PMC3580496,11
PMC3510512,5
PMC3431293,36
PMC3684512,17
PMC3582436,1
PMC3880092,4
PMC4046673,64
PMC3827844,8
PMC3965035,7
PMC4248814,2
PMC4213475,8
PMC4236726,9
PMC4411712,2
PMC4547404,2
PMC4552366,6
PMC4674888,2
PMC4702927,4
PMC4705686,4
PMC5035472,2
PMC5088520,1
PMC5009532,7
PMC4784276,29
PMC5210615,21
PMC5210651,16
PMC4742280,6
PMC5264486,15
PMC5485588,15
PMC5310278,10
PMC5604164,2
PMC4046673,64
PMC3965035,7
PMC4705686,4
PMC5210615,21
PMC5210651,16
PMC5310278,10
PMC2569068,2
PMC3292584,2
PMC2034470,3
PMC2848243,3
PMC3495648,2
PMC3999959,1
PMC2876127,2
PMC4144122,6
PMC4046673,64
PMC4784276,29
PMC2582245,3
PMC2775754,3
PMC3087353,2
PMC3965035,7
PMC5210615,21
PMC5219701,10
PMC3965035,7
PMC5210615,21
PMC5691387,14
PMC4344806,2
PMC4812617,2
PMC4167152,2
PMC4046673,64
PMC4784276,29
PMC5485588,15
PMC4331720,4
PMC5691387,14
PMC4647676,4
PMC4307189,4
PMC5210651,16
PMC2790875,2
PMC3878494,2
PMC4046673,64
PMC5691387,14
PMC4787833,1
PMC4046673,64
PMC4496889,2
PMC4236726,9
PMC4784276,29
PMC3049149,8
PMC3751779,8
PMC4046673,64
PMC4057599,2
PMC3475006,5
PMC3024860,4
PMC3443452,11
PMC4784276,29
PMC5210651,16
PMC2864246,2
PMC3582450,5
PMC3575819,3
PMC3305579,9
PMC4046673,64
PMC4460960,5
PMC4029357,9
PMC2853126,6
PMC3052188,4
PMC3458527,3
PMC4029357,9
PMC4784276,29
PMC4046673,64
PMC3013706,25
PMC2996996,2
PMC3827844,8
PMC4833304,5
PMC3333852,7
PMC1994960,11
PMC2761903,16
PMC2788367,16
PMC2845644,5
PMC2944782,78
PMC3042180,4
PMC3236842,2
PMC3049149,8
PMC3116899,11
PMC4236726,9
PMC3580496,11
PMC4636840,1
PMC2788367,16
PMC1913542,36
PMC1994960,11
PMC2639278,1
PMC2543031,16
PMC2268240,1
PMC2711946,2
PMC2761903,16
PMC2788367,16
PMC2691001,2
PMC3024860,4
PMC2982694,3
PMC2945786,1
PMC2910047,9
PMC3013804,10
PMC2845644,5
PMC3236842,2
PMC3052188,4
PMC3178546,16
PMC3315298,11
PMC3111532,4
PMC3116899,11
PMC3288749,1
PMC3439679,8
PMC3443452,11
PMC3568420,10
PMC3305579,9
PMC3580496,11
PMC3658457,3
PMC3584913,2
PMC3848857,2
PMC3851181,4
PMC4046673,64
PMC3827844,8
PMC4029357,9
PMC3965035,7
PMC4236726,9
PMC4552366,6
PMC4652780,2
PMC4705686,4
PMC5073942,2
PMC4875653,1
PMC5009532,7
PMC4784276,29
PMC5210615,21
PMC4742280,6
PMC5310278,10
PMC3377934,2
PMC2788367,16
PMC3439679,8
PMC3305579,9
PMC3851181,4
PMC507879,1
PMC1676023,1
PMC1891113,1
PMC2099488,2
PMC2265442,1
PMC1821332,2
PMC2279123,1
PMC2788384,1
PMC2810306,3
PMC2714305,1
PMC3045585,1
PMC3123201,6
PMC3141262,2
PMC3207936,3
PMC3535701,3
PMC3479160,1
PMC3879217,1
PMC3884118,1
PMC4007703,1
PMC3763994,2
PMC4080742,2
PMC3933069,2
PMC4041997,2
PMC4129116,1
PMC4490644,12
PMC4714473,1
PMC4865098,2
PMC5013568,3
PMC5131501,2
PMC5217216,5
PMC5568196,1
PMC2760582,1
PMC4490644,12
PMC549396,1
PMC1821332,2
PMC1874603,2
PMC1950550,1
PMC2395256,2
PMC2447752,1
PMC2670324,4
PMC2836575,1
PMC2919721,1
PMC2791203,1
PMC3105397,1
PMC3141262,2
PMC3141273,1
PMC3371846,1
PMC3295715,2
PMC3458570,1
PMC3765618,1
PMC3616743,2
PMC3905875,3
PMC3763994,2
PMC3898003,2
PMC3898078,2
PMC4085541,2
PMC4490644,12
PMC4492009,2
PMC4687084,1
PMC4551916,4
PMC4784275,1
PMC4864925,2
PMC5159533,2
PMC5686903,2
PMC5217216,5
PMC3178621,1
PMC4490644,12
PMC4490644,12
PMC4551732,6
PMC4551732,6
PMC3439971,4
PMC3394341,13
PMC3401431,1
PMC2820675,6
PMC2679020,1
PMC3042180,4
PMC3049149,8
PMC3049149,8
PMC2745680,9
PMC2770656,1
PMC2831002,28
PMC2949900,26
PMC3236847,23
PMC3443452,11
PMC3568420,10
PMC4147902,12
PMC4739640,10
PMC4895785,4
PMC5568075,6
PMC5237151,12
PMC3091721,1
PMC3424966,4
PMC2614496,1
PMC3431293,36
PMC3645958,6
PMC4083401,7
PMC5480187,2
PMC2996977,1
PMC2978361,3
PMC3262844,1
PMC3306746,4
PMC3548698,1
PMC3553984,5
PMC4131762,4
PMC4086105,3
PMC4267662,1
PMC4557482,2
PMC4702768,1
PMC4702811,8
PMC4756855,8
PMC4977763,6
PMC4914117,7
PMC5416769,3
PMC2787624,2
PMC4674855,14
PMC5117530,5
PMC5096314,9
PMC3820164,6
PMC3971351,10
PMC4330344,5
PMC4856318,5
PMC2823708,1
PMC3098084,6
PMC2872883,2
PMC2944782,78
PMC5364645,3
PMC3224690,8
PMC3616870,9
PMC2784322,4
PMC2926781,3
PMC3037905,1
PMC3170308,1
PMC3125784,1
PMC3580500,2
PMC3431293,36
PMC2978222,14
PMC4229886,5
PMC3378883,2
PMC4739640,10
PMC4512094,18
PMC4234063,2
PMC2831002,28
PMC3608085,4
PMC3273790,1
PMC3997969,10
PMC4547403,8
PMC4536608,5
PMC5038951,6
PMC3098101,1
PMC4055564,2
PMC3159465,16
PMC3575836,2
PMC4471934,6
PMC5001207,5
PMC4674855,14
PMC3632110,7
PMC3431293,36
PMC4081075,13
PMC4566848,9
PMC3125740,1
PMC5124223,7
PMC3751779,8
PMC2797084,2
PMC2430022,1
PMC3441405,8
PMC2708354,2
PMC3159465,16
PMC3521227,11
PMC5427619,24
PMC3616870,9
PMC3697991,3
PMC4833304,5
PMC3626856,5
PMC5096314,9
PMC3439921,3
PMC3159465,16
PMC4345017,3
PMC4489260,6
PMC4739640,10
PMC2734555,6
PMC2863163,8
PMC2892466,4
PMC2895626,5
PMC3073183,10
PMC3113938,3
PMC3180392,2
PMC3224118,16
PMC3245512,1
PMC3377939,1
PMC3128864,3
PMC3314566,10
PMC3348047,3
PMC3436770,6
PMC3848894,6
PMC3848818,6
PMC3961800,9
PMC4197225,9
PMC4769543,6
PMC3431293,36
PMC3535709,1
PMC4053938,9
PMC2893168,4
PMC3213685,11
PMC3794608,4
PMC4512094,18
PMC3348047,3
PMC4857427,6
PMC5131449,3
PMC5615262,4
PMC3721986,8
PMC4650296,26
PMC3510512,5
PMC3684512,17
PMC3783169,5
PMC4480927,3
PMC4578944,5
PMC2194797,1
PMC2225425,1
PMC2620272,37
PMC2395252,3
PMC2788367,16
PMC2687790,1
PMC2718516,4
PMC2875241,5
PMC2884167,4
PMC2885367,1
PMC3097162,4
PMC3278837,2
PMC3073923,12
PMC3178546,16
PMC3089487,1
PMC3203610,4
PMC3111532,4
PMC3424966,4
PMC3575404,1
PMC3460789,10
PMC3367180,7
PMC3439920,4
PMC4054099,3
PMC3575819,3
PMC4303952,1
PMC4086105,3
PMC4552366,6
PMC4659237,15
PMC4334405,4
PMC4702811,8
PMC4977763,6
PMC4714944,1
PMC5336648,4
PMC3848764,3
PMC3794608,4
PMC3012675,4
PMC3439967,4
PMC3928520,2
PMC4066761,7
PMC4674855,14
PMC4578944,5
PMC3562514,6
PMC4982312,7
PMC3044308,1
PMC3258143,2
PMC3333890,7
PMC3406964,7
PMC3384348,1
PMC3684512,17
PMC3599357,7
PMC3679908,3
PMC4053938,9
PMC3575808,8
PMC3950686,1
PMC3837635,2
PMC4302108,16
PMC4082612,5
PMC4378318,8
PMC4165360,5
PMC3568067,2
PMC4618947,31
PMC5009757,6
PMC5427619,24
PMC3283321,2
PMC2846907,1
PMC3072547,1
PMC3141417,3
PMC4856978,19
PMC3225826,8
PMC3223864,16
PMC2533120,3
PMC1784107,2
PMC1929143,2
PMC2865519,9
PMC3971351,10
PMC4249615,3
PMC4354765,1
PMC2825236,12
PMC3159465,16
PMC3597655,6
PMC3684512,17
PMC4302108,16
PMC4086064,6
PMC3499383,30
PMC3610166,1
PMC3684512,17
PMC4546048,7
PMC4856985,5
PMC3431293,36
PMC4561473,10
PMC4303935,3
PMC3439679,8
PMC3877965,6
PMC3843544,3
PMC4029366,3
PMC4499117,3
PMC2810663,2
PMC2965384,3
PMC4148184,2
PMC3439967,4
PMC5264486,15
PMC3961800,9
PMC4769543,6
PMC5345243,26
PMC4856984,2
PMC4081075,13
PMC4566848,9
PMC5210615,21
PMC3208247,5
PMC4137096,11
PMC4156652,3
PMC3082249,3
PMC3177187,3
PMC3333890,7
PMC3406964,7
PMC3413115,7
PMC3610271,3
PMC4053938,9
PMC4378318,8
PMC4086064,6
PMC4227138,7
PMC3276653,1
PMC4746802,5
PMC3971351,10
PMC4376348,6
PMC4330344,5
PMC4856318,5
PMC3930817,1
PMC3431293,36
PMC4290621,4
PMC3159465,16
PMC4884362,3
PMC3510495,5
PMC3491371,5
PMC2827410,1
PMC3597655,6
PMC3278837,2
PMC2949900,26
PMC4256903,3
PMC2944139,3
PMC3599307,2
PMC2838848,2
PMC3245948,1
PMC3203619,12
PMC3367180,7
PMC3652793,4
PMC3412164,14
PMC4377852,12
PMC3180389,4
PMC4064318,4
PMC3420919,5
PMC3769146,4
PMC3575792,2
PMC4005682,8
PMC4132698,4
PMC2944782,78
PMC3443069,21
PMC3583189,2
PMC4046673,64
PMC4256903,3
PMC4618947,31
PMC4914126,20
PMC5427619,24
PMC2997009,10
PMC3608085,4
PMC4634733,1
PMC4712512,1
PMC3308032,5
PMC3431293,36
PMC3777929,2
PMC3427045,5
PMC3682895,14
PMC4373061,10
PMC2707382,2
PMC2780461,2
PMC2728531,1
PMC2875035,11
PMC3223864,16
PMC3118215,3
PMC3203619,12
PMC4236453,19
PMC4460584,2
PMC4330344,5
PMC4702803,14
PMC5133487,3
PMC4856318,5
PMC4489288,2
PMC4052286,2
PMC4137096,11
PMC2896198,1
PMC3125730,20
PMC3481433,2
PMC3446318,13
PMC3645958,6
PMC3751090,24
PMC3737526,3
PMC3919606,3
PMC4269079,6
PMC4642938,8
PMC4884357,1
PMC2875020,1
PMC4053982,4
PMC3152357,4
PMC3191490,59
PMC3581797,12
