pmc,repoIDcount
PMC3260500,1
PMC3348665,1
PMC5253396,1
PMC3035373,3
PMC5569047,13
PMC4376673,1
PMC5645538,1
PMC5214747,3
PMC5554170,6
PMC6563668,11
PMC3886935,2
PMC5100261,3
PMC5358916,4
PMC5541162,3
PMC4463651,4
PMC3442231,1
PMC4510569,2
PMC4970813,2
PMC3886935,2
PMC3486833,1
PMC3839035,1
PMC3998131,1
PMC4241944,2
PMC4040541,3
PMC4415759,2
PMC4786412,2
PMC4839107,5
PMC5129638,6
PMC5052687,1
PMC6193930,2
PMC6547842,3
PMC4166679,11
PMC3939361,1
PMC4066953,8
PMC4429496,2
PMC4396363,4
PMC4643978,11
PMC4938208,36
PMC5569047,13
PMC5956929,7
PMC6207422,1
PMC5877491,3
PMC6440112,5
PMC4241944,2
PMC4415759,2
PMC4839107,5
PMC5129638,6
PMC6193930,2
PMC6547842,3
PMC5343136,10
PMC4179564,10
PMC4066953,8
PMC4643978,11
PMC5569047,13
PMC3531187,4
PMC3856857,15
PMC4176842,1
PMC3997425,2
PMC4360716,1
PMC4640604,3
PMC4915788,12
PMC3245037,4
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC4166679,11
PMC4066953,8
PMC4384740,2
PMC4504505,2
PMC4643978,11
PMC5569047,13
PMC6092779,51
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC4125147,6
PMC5576492,6
PMC6096938,9
PMC5008155,1
PMC4166679,11
PMC4066953,8
PMC4643978,11
PMC3164647,1
PMC3358658,1
PMC3537874,1
PMC3413113,3
PMC3488205,1
PMC3250501,3
PMC3297576,2
PMC3892928,1
PMC3737162,2
PMC3965073,2
PMC3585383,3
PMC3935148,1
PMC4007545,3
PMC4222360,2
PMC4281298,5
PMC4227762,1
PMC3946716,2
PMC4140826,2
PMC4483228,2
PMC4331710,25
PMC4844203,3
PMC4302521,3
PMC4702886,3
PMC4742197,6
PMC4556696,4
PMC4695084,2
PMC4955262,3
PMC4834207,2
PMC4750246,7
PMC5354861,4
PMC5740500,7
PMC5564755,2
PMC5574374,7
PMC5209722,2
PMC5427905,4
PMC5599597,18
PMC4331710,25
PMC4666377,1
PMC4416928,37
PMC4460021,5
PMC5664375,3
PMC5787418,6
PMC5429718,5
PMC6041744,13
PMC6058741,3
PMC5982764,4
PMC6126693,3
PMC3245037,4
PMC3919575,1
PMC4341063,1
PMC3491369,7
PMC6030064,5
PMC3741367,1
PMC4195885,2
PMC4702886,3
