journal,pmc_ID,converted_accession,species
Cell_Rep,PMC6715152,GSE111568,Mus musculus
Arthritis_Res_Ther,PMC3046537,GSE22971,Mus musculus
Sci_Rep,PMC4746671,GSE72478,Mus musculus
Cell_Mol_Gastroenterol_Hepatol,PMC6881665,GSE92991,Mus musculus
Genom_Data,PMC4535844,GSE39457,Mus musculus
PLoS_Genet,PMC6057650,ERP024425,Mus musculus
eLife,PMC5142813,SRP076056,Mus musculus
Nat_Commun,PMC6715734,GSE124991,Mus musculus
BMC_Genomics,PMC3655071,SRP012040,Mus musculus
PLoS_Genet,PMC5352137,GSE87051,Mus musculus
Immunol_Cell_Biol,PMC5454315,GSE74129,Mus musculus
PLoS_Pathog,PMC5574617,GSE95731,Mus musculus
Genome_Biol,PMC4862082,GSE75413,Mus musculus
Front_Genet,PMC4429622,GSE62669,Mus musculus
EBioMedicine,PMC6945195,GSE131454,Mus musculus
PLoS_Comput_Biol,PMC6105007,GSE109999,Mus musculus
PLoS_One,PMC4928805,GSE70753,Mus musculus
F1000Res,PMC4706055,SRP035922,Mus musculus
Arch_Toxicol,PMC5818586,GSE68111,Mus musculus
Nat_Commun,PMC4467376,GSE58629,Mus musculus
PLoS_One,PMC3083422,GSE25343,Mus musculus
Dis_Model_Mech,PMC5818081,GSE101579,Mus musculus
Nat_Commun,PMC6105717,GSE84324,Mus musculus
Nat_Commun,PMC6715734,SRP189007,Mus musculus
Cell_Rep,PMC6878787,GSE108997,Mus musculus
PLoS_One,PMC3055874,GSE24330,Mus musculus
PLoS_One,PMC3323564,GSE21677,Mus musculus
J_Biol_Chem,PMC3868760,GSE46889,Mus musculus
PLoS_One,PMC3907398,GSE50068,Mus musculus
PLoS_One,PMC3323564,GSE21707,Mus musculus
PLoS_Genet,PMC3708807,GSE43908,Mus musculus
Theranostics,PMC6929615,GSE134693,Mus musculus
eLife,PMC6703900,GSE124577,Mus musculus
eLife,PMC6711745,GSE123126,Mus musculus
Nat_Commun,PMC6726629,SRP189755,Mus musculus
eLife,PMC4728133,GSE68459,Mus musculus
eLife,PMC4728133,GSE68368,Mus musculus
BMC_Microbiol,PMC3563475,SRP014745,Mus musculus
Epigenetics_Chromatin,PMC6781367,SRP186720,Mus musculus
PLoS_One,PMC3885444,GSE40566,Mus musculus
Sci_Rep,PMC5904159,GSE93534,Mus musculus
PLoS_Genet,PMC6553695,GSE124420,Mus musculus
PLoS_One,PMC2576441,GSE11596,Mus musculus
PLoS_One,PMC5602546,GSE97634,Mus musculus
PLoS_One,PMC5602546,GSE97636,Mus musculus
Pediatr_Res,PMC7033041,GSE130347,Mus musculus
Data_Brief,PMC6612617,DRP004738,Mus musculus
BMC_Bioinformatics,PMC2646237,GSE7759,Mus musculus
Am_J_Hum_Genet,PMC5420347,GSE74735,Mus musculus
Nat_Immunol,PMC6642690,GSE124399,Mus musculus
Nat_Commun,PMC6180030,GSE113999,Mus musculus
BMC_Syst_Biol,PMC2225983,GSE8191,Mus musculus
PLoS_One,PMC4569352,SRP056010,Mus musculus
Pediatr_Res,PMC7033041,GSE130400,Mus musculus
PLoS_One,PMC4996532,GSE79403,Mus musculus
BMC_Syst_Biol,PMC3750405,GSE44445,Mus musculus
BMC_Syst_Biol,PMC3750405,GSE44441,Mus musculus
Nat_Commun,PMC5458121,GSE92381,Mus musculus
Nucleic_Acids_Res,PMC6649716,GSE124306,Mus musculus
Sci_Data,PMC4986542,GSE79131,Mus musculus
Cell_Metab,PMC6370974,GSE114402,Mus musculus
Arthritis_Res_Ther,PMC2688208,GSE12024,Mus musculus
Cell_Metab,PMC6370974,GSE114610,Mus musculus
PLoS_One,PMC5137903,GSE83357,Mus musculus
Cell_Metab,PMC6370974,GSE114613,Mus musculus
Cell_Metab,PMC6370974,GSE114612,Mus musculus
Cell_Metab,PMC6370974,GSE114611,Mus musculus
Cell_Metab,PMC6370974,GSE114401,Mus musculus
Cell_Metab,PMC6370974,GSE114400,Mus musculus
Cell_Metab,PMC6370974,GSE114399,Mus musculus
BMC_Genomics,PMC1899500,GSE6313,Mus musculus
Genome_Biol,PMC4053703,SRP013823,Mus musculus
Cell_Metab,PMC6370974,GSE77221,Mus musculus
Sci_Data,PMC4986542,GSE79129,Mus musculus
Oncotarget,PMC5346712,GSE65316,Mus musculus
PLoS_One,PMC2586086,GSE7207,Mus musculus
Aging_Cell,PMC6516184,GSE106108,Mus musculus
Sci_Rep,PMC4735745,SRP062636,Mus musculus
PLoS_One,PMC3252286,GSE31102,Mus musculus
Epigenetics_Chromatin,PMC5968593,GSE108319,Mus musculus
Genome_Biol,PMC126238,GSE13,Mus musculus
Genom_Data,PMC4832044,GSE67305,Mus musculus
J_Exp_Med,PMC5839756,GSE89992,Mus musculus
Aging_(Albany_NY),PMC5076460,GSE80680,Mus musculus
Stem_Cell_Res_Ther,PMC6951017,GSE135398,Mus musculus
BMC_Genomics,PMC3125268,GSE21746,Mus musculus
mSphere,PMC6881718,GSE132294,Mus musculus
PLoS_One,PMC3329559,GSE33714,Mus musculus
PLoS_One,PMC3248441,GSE30953,Mus musculus
PLoS_One,PMC2972218,GSE22073,Mus musculus
PLoS_Pathog,PMC5091767,GSE82046,Mus musculus
eLife,PMC5963917,GSE101905,Mus musculus
Front_Genet,PMC7056727,GSE137984,Mus musculus
Oncogene,PMC5658260,GSE93815,Mus musculus
Mol_Syst_Biol,PMC3397418,GSE35237,Mus musculus
Stem_Cell_Reports,PMC6565874,GSE124354,Mus musculus
Front_Endocrinol_(Lausanne),PMC7039067,SRP150130,Mus musculus
BMC_Biol,PMC4508805,GSE55060,Mus musculus
Sci_Rep,PMC6367434,GSE119657,Mus musculus
Nat_Neurosci,PMC4066672,GSE48579,Mus musculus
eLife,PMC7069720,GSE137215,Mus musculus
G3_(Bethesda),PMC3362298,GSE23584,Mus musculus
Genome_Biol,PMC2395256,GSE8868,Mus musculus
G3_(Bethesda),PMC5473748,GSE91003,Mus musculus
PLoS_One,PMC3753356,GSE41164,Mus musculus
PLoS_One,PMC3774802,GSE46087,Mus musculus
Cell_Biol_Toxicol,PMC4882353,GSE75378,Mus musculus
Nat_Neurosci,PMC5920715,GSE90673,Mus musculus
Genom_Data,PMC4536026,GSE48644,Mus musculus
Neoplasia,PMC4240924,GSE58719,Mus musculus
BMC_Genomics,PMC2758907,GSE15793,Mus musculus
Nucleic_Acids_Res,PMC6344851,SRP150031,Mus musculus
PLoS_Negl_Trop_Dis,PMC4428699,GSE64071,Mus musculus
PLoS_Negl_Trop_Dis,PMC2872641,GSE19525,Mus musculus
Fluids_Barriers_CNS,PMC3042978,GSE23714,Mus musculus
J_Cachexia_Sarcopenia_Muscle,PMC4435100,GSE57190,Mus musculus
Cell_Rep,PMC6697171,GSE126922,Mus musculus
Genome_Biol,PMC5984442,GSE104867,Mus musculus
J_Clin_Invest,PMC5824864,GSE96627,Mus musculus
Respir_Res,PMC2770038,GSE15999,Mus musculus
BMC_Genomics,PMC1199595,GSE2366,Mus musculus
PLoS_One,PMC2994727,GSE22663,Mus musculus
PLoS_One,PMC5770019,GSE98027,Mus musculus
BMC_Genomics,PMC3091680,GSE19355,Mus musculus
eLife,PMC6072441,DRP004092,Mus musculus
PLoS_Genet,PMC4858158,GSE63948,Mus musculus
Cell_Commun_Signal,PMC3317440,GSE31734,Mus musculus
Nat_Commun,PMC5634471,GSE98875,Mus musculus
EBioMedicine,PMC4740293,GSE68675,Mus musculus
Front_Cell_Infect_Microbiol,PMC5476747,SRP096928,Mus musculus
Exp_Neurobiol,PMC6221834,GSE105045,Mus musculus
eLife,PMC6345567,GSE113937,Mus musculus
BMC_Genomics,PMC6854620,GSE132930,Mus musculus
Nat_Cell_Biol,PMC5540176,GSE94249,Mus musculus
EMBO_J,PMC5730859,GSE82185,Mus musculus
Nucleic_Acids_Res,PMC5737698,SRP102526,Mus musculus
PLoS_Genet,PMC4549061,GSE67391,Mus musculus
Front_Cell_Neurosci,PMC4365716,GSE62582,Mus musculus
Cell_Death_Differ,PMC5563987,GSE92720,Mus musculus
PLoS_One,PMC3338727,GSE34048,Mus musculus
Nat_Med,PMC3169707,GSE19631,Mus musculus
Genome_Biol,PMC4862082,GSE63576,Mus musculus
Nat_Commun,PMC6838312,SRP200602,Mus musculus
Front_Oncol,PMC4306317,GSE59922,Mus musculus
Nat_Commun,PMC6722139,GSE129498,Mus musculus
Sci_Rep,PMC5792547,GSE103511,Mus musculus
Front_Immunol,PMC6307459,GSE117648,Mus musculus
Oncotarget,PMC5341981,GSE81054,Mus musculus
eLife,PMC4381951,GSE58423,Mus musculus
BMC_Genomics,PMC5729250,GSE84573,Mus musculus
Oncotarget,PMC6481333,GSE121499,Mus musculus
PLoS_One,PMC3458846,GSE37676,Mus musculus
BMC_Bioinformatics,PMC4702420,SRP062238,Mus musculus
Nat_Commun,PMC6212411,GSE115447,Mus musculus
BMC_Genomics,PMC5259856,GSE84972,Mus musculus
Sci_Rep,PMC5904214,GSE71648,Mus musculus
PLoS_One,PMC2962629,GSE22046,Mus musculus
F1000Res,PMC4654439,GSE64840,Mus musculus
PLoS_One,PMC2975639,GSE22317,Mus musculus
Genom_Data,PMC4535525,GSE36294,Mus musculus
PLoS_One,PMC3409173,GSE36330,Mus musculus
Genom_Data,PMC4248573,GSE49949,Mus musculus
Diabetol_Metab_Syndr,PMC3598339,GSE40119,Mus musculus
PLoS_One,PMC3342176,GSE34278,Mus musculus
Theranostics,PMC5485424,GSE90589,Mus musculus
PLoS_Pathog,PMC6975545,GSE136647,Mus musculus
Theranostics,PMC5485424,GSE93033,Mus musculus
Cell_Mol_Gastroenterol_Hepatol,PMC5042563,GSE73882,Mus musculus
Nat_Commun,PMC7010817,GSE137555,Mus musculus
Mol_Ther_Nucleic_Acids,PMC7078126,SRP222426,Mus musculus
Stem_Cell_Reports,PMC6524170,GSE117749,Mus musculus
PLoS_One,PMC4503762,GSE66089,Mus musculus
Nucleic_Acids_Res,PMC3315316,GSE30428,Mus musculus
BMC_Genomics,PMC5697431,GSE86063,Mus musculus
Genes_Cells,PMC4231238,SRP025153,Mus musculus
PLoS_One,PMC6107111,SRP101853,Mus musculus
Nature,PMC3743022,GSE42379,Mus musculus
Nat_Commun,PMC6853988,GSE83631,Mus musculus
BMC_Genomics,PMC5259865,DRP003214,Mus musculus
Cell_Rep,PMC4807655,GSE41879,Mus musculus
PLoS_Genet,PMC4792400,GSE68266,Mus musculus
Int_J_Mol_Sci,PMC4284721,GSE59362,Mus musculus
PLoS_Genet,PMC3121749,GSE23581,Mus musculus
Nat_Commun,PMC5608722,SRP074158,Mus musculus
