journal,pmc_ID,converted_accession,species
Sci_Rep,PMC4431350,GSE63886,Mus musculus
PLoS_One,PMC3991641,GSE54056,Mus musculus
Nat_Genet,PMC6420098,GSE104067,Mus musculus
Front_Mol_Neurosci,PMC5908890,GSE107356,Mus musculus
BMC_Infect_Dis,PMC5405508,GSE96550,Mus musculus
J_Exp_Med,PMC3978274,GSE52928,Mus musculus
Nat_Commun,PMC4820786,GSE55262,Mus musculus
Nat_Commun,PMC6156586,GSE101099,Mus musculus
Genom_Data,PMC5107684,GSE85999,Mus musculus
Nat_Commun,PMC3167062,GSE30556,Mus musculus
Nat_Commun,PMC5895627,GSE104389,Mus musculus
Nature,PMC4015622,GSE52711,Mus musculus
Genom_Data,PMC5097955,GSE86000,Mus musculus
Nat_Commun,PMC6713763,GSE134304,Mus musculus
Front_Cell_Neurosci,PMC4230043,GSE61918,Mus musculus
Front_Cell_Neurosci,PMC4230043,GSE61915,Mus musculus
PLoS_One,PMC4439058,GSE67266,Mus musculus
PLoS_One,PMC5854349,GSE109882,Mus musculus
PLoS_One,PMC3935923,GSE54022,Mus musculus
PLoS_Genet,PMC3305395,GSE27715,Mus musculus
Nat_Commun,PMC5762923,GSE102856,Mus musculus
PLoS_One,PMC6013233,GSE111630,Mus musculus
Genomics_Proteomics_Bioinformatics,PMC6076382,GSE104828,Mus musculus
Cell_Rep,PMC4790111,GSE76603,Mus musculus
Cell_Rep,PMC6002757,GSE101535,Mus musculus
J_Exp_Med,PMC4042643,GSE53400,Mus musculus
Cell_Stem_Cell,PMC4985539,GSE76408,Mus musculus
Breast_Cancer_Res,PMC4957901,GSE83189,Mus musculus
Nat_Commun,PMC6232171,GSE120344,Mus musculus
Nat_Commun,PMC6235890,GSE114933,Mus musculus
Mol_Cell,PMC6242708,GSE118794,Mus musculus
Nat_Commun,PMC5899147,GSE110700,Mus musculus
Genome_Biol,PMC6391789,GSE118221,Mus musculus
Nat_Commun,PMC5789892,GSE102077,Mus musculus
Nat_Commun,PMC6338772,GSE123409,Mus musculus
Genome_Biol,PMC6092797,GSE71294,Mus musculus
Nat_Commun,PMC4236193,GSE52123,Mus musculus
Stem_Cell_Reports,PMC6626869,GSE108373,Mus musculus
PLoS_Biol,PMC6481923,GSE125493,Mus musculus
Nat_Commun,PMC3105305,GSE23585,Mus musculus
Nat_Commun,PMC6761124,GSE121364,Mus musculus
Mol_Cell,PMC3533687,ERP001953,Mus musculus
Mol_Cell,PMC4352895,GSE55630,Mus musculus
PLoS_Pathog,PMC5552345,SRP092808,Mus musculus
Nat_Commun,PMC5651901,GSE83358,Mus musculus
Nat_Commun,PMC6331566,GSE111911,Mus musculus
Nat_Commun,PMC6318318,GSE120309,Mus musculus
J_Neuroinflammation,PMC4481122,GSE68805,Mus musculus
Nat_Commun,PMC4703905,GSE73014,Mus musculus
J_Exp_Med,PMC3428942,GSE37995,Mus musculus
F1000Res,PMC4103489,GSE50531,Mus musculus
Genome_Biol,PMC5314486,GSE72239,Mus musculus
Sci_Data,PMC5759371,GSE103230,Mus musculus
BMC_Genomics,PMC5112738,GSE81097,Mus musculus
Nat_Commun,PMC6414608,GSE125784,Mus musculus
Nat_Immunol,PMC4618075,GSE71343,Mus musculus
J_Exp_Med,PMC5748849,GSE105808,Mus musculus
PLoS_One,PMC5063463,GSE86269,Mus musculus
Front_Oncol,PMC3957277,GSE54633,Mus musculus
Nat_Commun,PMC6459869,GSE116603,Mus musculus
Cell_Mol_Gastroenterol_Hepatol,PMC6369223,SRP155816,Mus musculus
J_Exp_Med,PMC5679163,GSE85657,Mus musculus
Nat_Commun,PMC6461646,GSE120399,Mus musculus
PLoS_One,PMC4099342,GSE58169,Mus musculus
Nat_Commun,PMC6050289,SRP149759,Mus musculus
Theranostics,PMC6587176,GSE129771,Mus musculus
J_Exp_Med,PMC5940267,GSE102270,Mus musculus
Nat_Commun,PMC6372786,GSE123735,Mus musculus
BMC_Genomics,PMC3571888,GSE42970,Mus musculus
Cell,PMC5786503,GSE108045,Mus musculus
Cell,PMC5786505,GSE103753,Mus musculus
Nat_Commun,PMC6547712,SRP180930,Mus musculus
Cell,PMC5037318,GSE85422,Mus musculus
Nat_Commun,PMC6586630,GSE122013,Mus musculus
PLoS_Genet,PMC6762065,GSE122840,Mus musculus
Nat_Commun,PMC6081425,GSE104650,Mus musculus
Nat_Commun,PMC6606754,SRP159792,Mus musculus
J_Exp_Med,PMC5881468,GSE107759,Mus musculus
Nat_Commun,PMC6081425,GSE104648,Mus musculus
Nature,PMC4896091,GSE77793,Mus musculus
Front_Immunol,PMC5410582,GSE96813,Mus musculus
Nat_Commun,PMC6731260,GSE131246,Mus musculus
Nat_Commun,PMC6037695,SRP132213,Mus musculus
EBioMedicine,PMC5828468,GSE106639,Mus musculus
Nat_Commun,PMC6692361,SRP201017,Mus musculus
Transl_Psychiatry,PMC6336883,GSE123460,Mus musculus
PLoS_One,PMC3726448,GSE46970,Mus musculus
Genome_Med,PMC4857420,SRP071753,Mus musculus
Nat_Commun,PMC6718618,GSE111492,Mus musculus
PLoS_One,PMC5726624,GSE103056,Mus musculus
PLoS_Genet,PMC3642083,GSE45390,Mus musculus
Nucleic_Acids_Res,PMC4005686,SRP035266,Mus musculus
Nat_Commun,PMC4600741,GSE72301,Mus musculus
Nat_Commun,PMC6037695,GSE110165,Mus musculus
Sci_Data,PMC5749120,GSE86418,Mus musculus
Immunity,PMC3664383,GSE46004,Mus musculus
Nat_Commun,PMC5785540,GSE98133,Mus musculus
Nat_Commun,PMC4740868,SRP067544,Mus musculus
J_Exp_Med,PMC5839759,GSE108753,Mus musculus
Nat_Commun,PMC5785540,GSE98134,Mus musculus
Nat_Commun,PMC6541636,GSE119132,Mus musculus
Nat_Cell_Biol,PMC3743266,GSE39509,Mus musculus
Nat_Immunol,PMC3581083,GSE42277,Mus musculus
Nat_Commun,PMC6541636,GSE119194,Mus musculus
PLoS_Comput_Biol,PMC6860456,GSE137749,Mus musculus
Front_Behav_Neurosci,PMC6637287,GSE131972,Mus musculus
PLoS_Biol,PMC6166974,GSE118283,Mus musculus
Nat_Commun,PMC5989265,SRP142522,Mus musculus
PLoS_Genet,PMC3072371,GSE27483,Mus musculus
J_Exp_Med,PMC5789403,GSE104689,Mus musculus
Nat_Commun,PMC6470137,SRP173675,Mus musculus
BMC_Dev_Biol,PMC2570686,GSE12367,Mus musculus
Nat_Commun,PMC6131350,GSE100474,Mus musculus
J_Exp_Med,PMC5748849,GSE105806,Mus musculus
J_Exp_Med,PMC5748849,GSE105807,Mus musculus
Nat_Commun,PMC5095181,GSE86859,Mus musculus
Nat_Cell_Biol,PMC5826565,GSE100102,Mus musculus
Wellcome_Open_Res,PMC6640293,GSE130317,Mus musculus
Cell_Rep,PMC6172041,GSE115860,Mus musculus
Nature,PMC3668793,GSE45625,Mus musculus
PLoS_One,PMC3994156,GSE55760,Mus musculus
Development,PMC5201045,GSE79323,Mus musculus
Development,PMC5201045,GSE79322,Mus musculus
Development,PMC5201045,GSE79320,Mus musculus
Development,PMC5201045,GSE79321,Mus musculus
Nat_Commun,PMC6232171,SRP162012,Mus musculus
PLoS_One,PMC3867416,GSE49132,Mus musculus
Cell_Rep,PMC4914771,GSE73344,Mus musculus
Nat_Commun,PMC5109548,GSE82091,Mus musculus
PLoS_One,PMC3747131,GSE48642,Mus musculus
Cell_Stem_Cell,PMC4985539,GSE76983,Mus musculus
Genome_Biol,PMC4053768,GSE44278,Mus musculus
Nat_Commun,PMC6191460,GSE119495,Mus musculus
Theranostics,PMC6587176,GSE129791,Mus musculus
Nature,PMC3807868,GSE48805,Mus musculus
Breast_Cancer_Res,PMC4053226,GSE54491,Mus musculus
G3_(Bethesda),PMC6505145,SRP172510,Mus musculus
J_Exp_Med,PMC6219744,GSE120239,Mus musculus
PLoS_One,PMC5771600,GSE107798,Mus musculus
PPAR_Res,PMC3995169,GSE55143,Mus musculus
J_Exp_Med,PMC6219734,GSE120477,Mus musculus
J_Exp_Med,PMC6219740,GSE107950,Mus musculus
J_Exp_Med,PMC6219740,GSE107948,Mus musculus
Nat_Struct_Mol_Biol,PMC4677832,GSE67584,Mus musculus
PLoS_Pathog,PMC3040669,GSE26491,Mus musculus
Nature,PMC5895494,GSE104415,Mus musculus
PLoS_One,PMC3983164,GSE54128,Mus musculus
BMC_Genomics,PMC2424064,GSE8617,Mus musculus
Nat_Commun,PMC6403248,GSE125546,Mus musculus
Nat_Commun,PMC5413949,SRP096953,Mus musculus
EMBO_Rep,PMC6500978,GSE126621,Mus musculus
Nat_Commun,PMC5123088,GSE86949,Mus musculus
Genome_Biol,PMC5370462,GSE89275,Mus musculus
Genome_Biol,PMC5371228,GSE89275,Mus musculus
Nucleic_Acids_Res,PMC4605299,GSE70440,Mus musculus
J_Exp_Med,PMC5881470,GSE108844,Mus musculus
Mol_Brain,PMC5335812,GSE93732,Mus musculus
Nat_Commun,PMC6416356,GSE125983,Mus musculus
Genome_Biol,PMC6819472,GSE124216,Mus musculus
Microorganisms,PMC6617241,ERP113248,Mus musculus
PLoS_Pathog,PMC6283616,GSE86591,Mus musculus
J_Cell_Sci,PMC4487015,GSE63166,Mus musculus
Nat_Commun,PMC6594958,GSE124904,Mus musculus
Stem_Cell_Reports,PMC5935799,ERP021225,Mus musculus
Nat_Immunol,PMC6158091,GSE116561,Mus musculus
Nat_Commun,PMC6610088,GSE131716,Mus musculus
Nat_Immunol,PMC6158091,GSE116466,Mus musculus
Nat_Immunol,PMC6158091,GSE116468,Mus musculus
Nat_Immunol,PMC6049828,GSE102526,Mus musculus
Cell_Rep,PMC6555431,GSE129948,Mus musculus
eLife,PMC5404924,GSE96053,Mus musculus
Nat_Commun,PMC6191460,GSE119496,Mus musculus
J_Exp_Med,PMC6028518,GSE92540,Mus musculus
J_Exp_Med,PMC4995083,GSE72975,Mus musculus
J_Exp_Med,PMC5881467,GSE103339,Mus musculus
Nature,PMC6818753,GSE135326,Mus musculus
J_Exp_Med,PMC5413337,GSE94543,Mus musculus
Nat_Commun,PMC5906610,GSE102548,Mus musculus
Nat_Commun,PMC6704256,GSE134151,Mus musculus
J_Exp_Med,PMC3149213,GSE29949,Mus musculus
Nat_Commun,PMC6684615,GSE133342,Mus musculus
Stem_Cell_Reports,PMC3849245,GSE50477,Mus musculus
J_Exp_Med,PMC2737161,GSE16943,Mus musculus
Nat_Commun,PMC4552083,GSE71038,Mus musculus
J_Exp_Med,PMC2234364,GSE9549,Mus musculus
J_Exp_Med,PMC5502420,GSE98311,Mus musculus
J_Exp_Med,PMC5461006,GSE97354,Mus musculus
Curr_Biol,PMC6739420,GSE135082,Mus musculus
J_Exp_Med,PMC2118525,GSE9316,Mus musculus
J_Exp_Med,PMC4612093,GSE72149,Mus musculus
J_Exp_Med,PMC3949572,GSE53486,Mus musculus
Front_Cell_Neurosci,PMC3414908,GSE35363,Mus musculus
J_Exp_Med,PMC6122978,GSE117646,Mus musculus
BMC_Physiol,PMC2799380,GSE18801,Mus musculus
J_Exp_Med,PMC2901069,GSE22009,Mus musculus
Cell_Rep,PMC6116735,GSE78895,Mus musculus
Nat_Commun,PMC6450906,GSE110574,Mus musculus
Gastroenterology,PMC7007299,GSE104875,Mus musculus
Nat_Commun,PMC4394211,SRP053350,Mus musculus
PLoS_Genet,PMC3886906,GSE43007,Mus musculus
Nat_Commun,PMC4394211,SRP053429,Mus musculus
Nat_Commun,PMC6226531,GSE103664,Mus musculus
J_Exp_Med,PMC5413325,GSE81079,Mus musculus
Nat_Commun,PMC4869176,GSE68713,Mus musculus
J_Exp_Med,PMC3371731,GSE37566,Mus musculus
Cell_Rep,PMC6896898,GSE129368,Mus musculus
Nat_Genet,PMC5617800,GSE95062,Mus musculus
Nat_Commun,PMC5228069,GSE75686,Mus musculus
J_Exp_Med,PMC5339677,GSE89897,Mus musculus
Cell_Rep,PMC6446575,GSE109998,Mus musculus
Cell_Rep,PMC6446575,GSE109997,Mus musculus
PeerJ,PMC4991849,GSE74243,Mus musculus
PLoS_One,PMC4074065,GSE51483,Mus musculus
Cell_Rep,PMC6446575,GSE110002,Mus musculus
Cell_Rep,PMC5120368,GSE87489,Mus musculus
J_Exp_Med,PMC5154942,GSE81476,Mus musculus
Cell_Rep,PMC5908249,SRP133364,Mus musculus
Nat_Commun,PMC4879243,GSE79976,Mus musculus
J_Exp_Med,PMC4813676,GSE76132,Mus musculus
Cell_Rep,PMC5912949,GSE110183,Mus musculus
Development,PMC5399622,GSE92273,Mus musculus
Aging_Cell,PMC5946061,GSE78177,Mus musculus
Mol_Cell_Biol,PMC4702602,GSE68964,Mus musculus
Exp_Neurol,PMC4920670,GSE55497,Mus musculus
Nat_Commun,PMC5750210,SRP095725,Mus musculus
Stem_Cell_Reports,PMC4719190,GSE70581,Mus musculus
J_Exp_Med,PMC5068233,GSE81390,Mus musculus
J_Exp_Med,PMC2118077,GSE3565,Mus musculus
J_Exp_Med,PMC2916129,GSE19793,Mus musculus
PLoS_One,PMC3961254,GSE54722,Mus musculus
PLoS_Biol,PMC6095611,GSE116431,Mus musculus
J_Exp_Med,PMC4516791,GSE68317,Mus musculus
PLoS_Biol,PMC6301715,GSE119713,Mus musculus
eLife,PMC4001325,GSE48895,Mus musculus
Mol_Syst_Biol,PMC4547845,ERP006913,Mus musculus
Sci_Rep,PMC6423048,GSE126157,Mus musculus
iScience,PMC6838536,GSE133079,Mus musculus
J_Exp_Med,PMC6219739,GSE106349,Mus musculus
Cell_Rep,PMC5986709,GSE113114,Mus musculus
J_Exp_Med,PMC6080907,GSE105143,Mus musculus
Nat_Neurosci,PMC6596419,GSE129150,Mus musculus
Front_Genet,PMC6565949,SRP194265,Mus musculus
Nat_Commun,PMC5512625,GSE83337,Mus musculus
Mol_Cell,PMC4672152,GSE66629,Mus musculus
Nat_Commun,PMC6399349,GSE125627,Mus musculus
J_Exp_Med,PMC4419356,GSE61437,Mus musculus
Stem_Cell_Res_Ther,PMC5345140,GSE87044,Mus musculus
PLoS_One,PMC3346809,GSE24793,Mus musculus
Development,PMC4352985,GSE65154,Mus musculus
Mol_Cell,PMC6561742,GSE122715,Mus musculus
Nat_Commun,PMC6513986,SRP190965,Mus musculus
Nat_Med,PMC4594755,GSE62307,Mus musculus
Nat_Commun,PMC6534668,GSE126362,Mus musculus
Cell_Rep,PMC5120368,GSE87533,Mus musculus
Stem_Cell_Res_Ther,PMC5345140,GSE87583,Mus musculus
Cell_Rep,PMC6945759,GSE121195,Mus musculus
PLoS_One,PMC5349675,GSE88732,Mus musculus
J_Exp_Med,PMC3832919,SRP029761,Mus musculus
Sci_Data,PMC6570759,GSE126182,Mus musculus
Sci_Data,PMC6570759,GSE126181,Mus musculus
Sci_Data,PMC6570759,GSE118341,Mus musculus
Sci_Data,PMC6570759,GSE118340,Mus musculus
Sci_Data,PMC6570759,GSE118339,Mus musculus
J_Exp_Med,PMC5987924,GSE102665,Mus musculus
Nat_Commun,PMC3863903,GSE52017,Mus musculus
Immunity,PMC6104815,GSE117081,Mus musculus
J_Exp_Med,PMC6400538,GSE124884,Mus musculus
PLoS_One,PMC3894860,GSE49047,Mus musculus
Diabetes,PMC6477899,GSE114913,Mus musculus
Genome_Biol,PMC4858858,GSE79655,Mus musculus
Genome_Biol,PMC4858858,GSE79649,Mus musculus
Genome_Biol,PMC4858858,GSE79650,Mus musculus
Nat_Cell_Biol,PMC5801040,GSE84387,Mus musculus
Genome_Biol,PMC4858858,GSE79652,Mus musculus
Genome_Biol,PMC4858858,GSE79653,Mus musculus
Biol_Sex_Differ,PMC3049118,GSE26630,Mus musculus
BMC_Genomics,PMC2830985,GSE19729,Mus musculus
PLoS_Pathog,PMC6428256,GSE122765,Mus musculus
Genome_Biol,PMC4858858,GSE79654,Mus musculus
PLoS_One,PMC3913631,GSE53686,Mus musculus
J_Exp_Med,PMC3328357,GSE24826,Mus musculus
J_Exp_Med,PMC3328357,GSE22102,Mus musculus
EBioMedicine,PMC5474518,GSE92671,Mus musculus
Nat_Commun,PMC6744474,GSE134378,Mus musculus
BMC_Genomics,PMC5075209,SRP075058,Mus musculus
PLoS_Biol,PMC6029811,GSE99888,Mus musculus
Nat_Commun,PMC6048122,GSE113975,Mus musculus
J_Exp_Med,PMC3832931,GSE43594,Mus musculus
Nat_Commun,PMC6763448,GSE132952,Mus musculus
BMC_Cancer,PMC2765988,GSE17795,Mus musculus
J_Exp_Med,PMC3782040,GSE41021,Mus musculus
Cell_Rep,PMC4977272,GSE81849,Mus musculus
Stem_Cell_Reports,PMC6700503,GSE133245,Mus musculus
Cell_Rep,PMC5695904,ERP104030,Mus musculus
Open_Biol,PMC5303281,GSE79076,Mus musculus
Invest_Ophthalmol_Vis_Sci,PMC6785841,GSE133940,Mus musculus
Stem_Cell_Reports,PMC6700503,GSE133248,Mus musculus
Cell_Rep,PMC6887110,GSE125523,Mus musculus
PLoS_Pathog,PMC5526579,GSE97618,Mus musculus
PLoS_One,PMC4256377,GSE58094,Mus musculus
Nature,PMC5788037,GSE89758,Mus musculus
Cell_Rep,PMC7032945,GSE134807,Mus musculus
PLoS_One,PMC4102594,GSE58303,Mus musculus
Nat_Commun,PMC6377611,GSE121152,Mus musculus
PLoS_One,PMC3906077,GSE51544,Mus musculus
Genome_Biol,PMC4376074,GSE59543,Mus musculus
PLoS_One,PMC3906077,GSE51543,Mus musculus
PLoS_One,PMC3906077,GSE51545,Mus musculus
Nat_Commun,PMC5805689,GSE90153,Mus musculus
PLoS_One,PMC3906077,GSE51542,Mus musculus
Nat_Commun,PMC6731243,SRP216924,Mus musculus
Nat_Commun,PMC6789153,GSE136769,Mus musculus
Stem_Cell_Reports,PMC5785620,GSE105775,Mus musculus
Nat_Commun,PMC6642215,GSE132530,Mus musculus
Nat_Commun,PMC6642215,GSE132537,Mus musculus
EMBO_J,PMC5623844,GSE100070,Mus musculus
Nat_Commun,PMC6542850,GSE130147,Mus musculus
Front_Microbiol,PMC6308121,SRP168525,Mus musculus
Diabetes_Metab_Syndr_Obes,PMC6711723,GSE115068,Mus musculus
Cell_Rep,PMC5947873,GSE105128,Mus musculus
Cell_Rep,PMC5947873,GSE105508,Mus musculus
Cell_Rep,PMC5947873,GSE105515,Mus musculus
BMC_Genomics,PMC2858152,GSE19272,Mus musculus
Cell_Death_Dis,PMC5832785,SRP130842,Mus musculus
Nat_Commun,PMC6303346,GSE103387,Mus musculus
Development,PMC4352978,GSE65247,Mus musculus
Nat_Neurosci,PMC3845444,GSE50824,Mus musculus
Nat_Commun,PMC6302089,GSE110909,Mus musculus
BMC_Genomics,PMC5702081,GSE89994,Mus musculus
PLoS_Genet,PMC3364935,GSE35731,Mus musculus
PLoS_One,PMC2575400,GSE12354,Mus musculus
Nat_Commun,PMC4555999,GSE61677,Mus musculus
J_Exp_Med,PMC4612089,GSE72936,Mus musculus
PLoS_Genet,PMC4263398,GSE54053,Mus musculus
Stem_Cell_Res_Ther,PMC4055015,GSE53611,Mus musculus
Nat_Commun,PMC5437292,GSE96818,Mus musculus
PLoS_Pathog,PMC5364000,GSE85805,Mus musculus
PLoS_Genet,PMC4014425,GSE39244,Mus musculus
Nat_Commun,PMC6290074,GSE122066,Mus musculus
J_Exp_Med,PMC5839752,GSE107530,Mus musculus
J_Exp_Med,PMC5339673,GSE81422,Mus musculus
Nat_Commun,PMC6226492,GSE119210,Mus musculus
PLoS_One,PMC3734024,GSE46245,Mus musculus
Nat_Commun,PMC5150646,GSE80216,Mus musculus
Genome_Biol,PMC5984455,SRP116250,Mus musculus
Nat_Commun,PMC4974469,GSE83090,Mus musculus
PLoS_One,PMC4440627,GSE66791,Mus musculus
Sci_Rep,PMC5629202,GSE99234,Mus musculus
Nat_Genet,PMC6265079,GSE107940,Mus musculus
Nat_Cell_Biol,PMC5578890,GSE94637,Mus musculus
Nat_Commun,PMC6023921,GSE112642,Mus musculus
J_Exp_Med,PMC4387290,GSE65536,Mus musculus
BMC_Cancer,PMC4367870,GSE65461,Mus musculus
Nat_Commun,PMC5059784,GSE85797,Mus musculus
Nat_Commun,PMC5964073,GSE101569,Mus musculus
Nat_Commun,PMC5865154,SRP132950,Mus musculus
Nat_Immunol,PMC6754289,GSE129311,Mus musculus
Nat_Commun,PMC5958137,GSE98407,Mus musculus
Nat_Commun,PMC6478690,GSE117728,Mus musculus
Genom_Data,PMC4664674,GSE70296,Mus musculus
PLoS_Pathog,PMC4450074,GSE64594,Mus musculus
PLoS_Genet,PMC2211538,GSE9725,Mus musculus
PLoS_One,PMC4023961,GSE56636,Mus musculus
PLoS_Genet,PMC3431311,GSE39640,Mus musculus
PLoS_Genet,PMC2661365,GSE15082,Mus musculus
Nat_Commun,PMC6722061,GSE132324,Mus musculus
Nat_Commun,PMC6478789,GSE117612,Mus musculus
Stem_Cell_Reports,PMC5355570,GSE93376,Mus musculus
PLoS_Biol,PMC5331964,GSE76678,Mus musculus
PLoS_Biol,PMC5331964,GSE76482,Mus musculus
PLoS_Biol,PMC6400402,SRP179758,Mus musculus
Cell_Rep,PMC4074342,GSE57220,Mus musculus
Nat_Commun,PMC5958137,GSE109728,Mus musculus
Breast_Cancer_Res,PMC3496133,GSE31942,Mus musculus
Sci_Rep,PMC5027589,GSE84345,Mus musculus
Nat_Commun,PMC6327029,GSE111997,Mus musculus
Nat_Commun,PMC6377614,SRP173611,Mus musculus
Nat_Commun,PMC6082848,GSE116484,Mus musculus
Genome_Biol,PMC4056528,GSE53982,Mus musculus
Cell_Rep,PMC4120120,GSE56456,Mus musculus
Genome_Biol,PMC4056528,GSE54013,Mus musculus
Genome_Biol,PMC4556057,GSE65506,Mus musculus
Sci_Data,PMC4477696,GSE62432,Mus musculus
Nature,PMC3807868,GSE48870,Mus musculus
PLoS_One,PMC2243019,GSE10170,Mus musculus
Genome_Biol,PMC4589031,GSE64054,Mus musculus
Genome_Biol,PMC4589031,GSE58532,Mus musculus
Nat_Commun,PMC6445096,GSE126988,Mus musculus
Cell_Rep,PMC6655560,GSE126872,Mus musculus
Cell_Rep,PMC6635386,GSE132054,Mus musculus
Int_J_Cancer,PMC4235304,GSE45271,Mus musculus
J_Exp_Med,PMC6279396,SRP127298,Mus musculus
Stem_Cell_Reports,PMC4682067,GSE60397,Mus musculus
PLoS_Biol,PMC1393758,GSE3909,Mus musculus
PLoS_One,PMC4222939,GSE61443,Mus musculus
Nat_Commun,PMC5813197,GSE93370,Mus musculus
eLife,PMC5832417,GSE108044,Mus musculus
Front_Cell_Infect_Microbiol,PMC6036295,GSE112129,Mus musculus
Front_Cell_Infect_Microbiol,PMC6036295,GSE112138,Mus musculus
Nature,PMC4221572,GSE38962,Mus musculus
Breast_Cancer_Res,PMC4717616,GSE75989,Mus musculus
Nat_Commun,PMC5813197,GSE93369,Mus musculus
Nat_Immunol,PMC6619502,SRP142643,Mus musculus
Development,PMC5374352,GSE92295,Mus musculus
Stem_Cell_Reports,PMC3849245,GSE50603,Mus musculus
J_Exp_Med,PMC4419355,GSE62517,Mus musculus
J_Exp_Med,PMC6170182,GSE116377,Mus musculus
PLoS_Genet,PMC6277115,GSE72895,Mus musculus
PLoS_One,PMC4766010,GSE76928,Mus musculus
J_Exp_Med,PMC5716029,GSE102859,Mus musculus
Front_Cell_Neurosci,PMC4365716,GSE65843,Mus musculus
Nat_Commun,PMC6102273,GSE94832,Mus musculus
Stem_Cell_Reports,PMC5390104,GSE94665,Mus musculus
Nat_Commun,PMC5512610,GSE79014,Mus musculus
Stem_Cell_Reports,PMC4472037,GSE67687,Mus musculus
Nat_Commun,PMC6584502,SRP198442,Mus musculus
J_Exp_Med,PMC4749922,GSE75407,Mus musculus
Cell,PMC3383994,GSE37419,Mus musculus
Cell_Stem_Cell,PMC5732323,GSE85178,Mus musculus
Nat_Commun,PMC6509168,GSE129287,Mus musculus
J_Exp_Med,PMC4516789,GSE66421,Mus musculus
Sci_Rep,PMC4594005,GSE67418,Mus musculus
EMBO_Mol_Med,PMC6554672,GSE129709,Mus musculus
J_Exp_Med,PMC3409502,GSE36687,Mus musculus
Mol_Oncol,PMC6670013,GSE129048,Mus musculus
Nat_Commun,PMC6715719,GSE108768,Mus musculus
J_Exp_Med,PMC5413328,GSE81724,Mus musculus
Stem_Cells,PMC6766926,GSE129223,Mus musculus
Nat_Commun,PMC6715719,GSE108750,Mus musculus
Nat_Commun,PMC6715719,GSE108762,Mus musculus
Nat_Cell_Biol,PMC4801004,GSE56671,Mus musculus
Nat_Commun,PMC6761092,GSE90912,Mus musculus
Nat_Commun,PMC6728361,GSE124873,Mus musculus
J_Exp_Med,PMC3892975,GSE51283,Mus musculus
Nat_Commun,PMC5067526,GSE72875,Mus musculus
Nat_Cell_Biol,PMC4801004,GSE56672,Mus musculus
Cell_Rep,PMC4103025,GSE47177,Mus musculus
Nat_Commun,PMC5906604,GSE111796,Mus musculus
J_Exp_Med,PMC5413338,GSE94638,Mus musculus
Nat_Commun,PMC6715719,GSE124671,Mus musculus
Front_Physiol,PMC5829089,GSE109345,Mus musculus
PeerJ,PMC5333540,SRP097141,Mus musculus
Nat_Commun,PMC5095349,GSE87066,Mus musculus
Genome_Biol,PMC5782396,GSE99670,Mus musculus
J_Exp_Med,PMC2901068,GSE17726,Mus musculus
PLoS_Genet,PMC4574967,GSE70361,Mus musculus
Genome_Biol,PMC6532271,GSE129884,Mus musculus
Mol_Vis,PMC6612415,GSE127942,Mus musculus
Nat_Commun,PMC5738403,GSE106259,Mus musculus
PLoS_One,PMC3968161,GSE55162,Mus musculus
J_Exp_Med,PMC5584119,GSE100256,Mus musculus
eLife,PMC6281319,GSE118334,Mus musculus
Nat_Commun,PMC5730609,GSE76755,Mus musculus
Nat_Commun,PMC6513997,GSE124743,Mus musculus
Nat_Commun,PMC6513997,GSE124839,Mus musculus
Nat_Commun,PMC4363081,GSE64666,Mus musculus
Nat_Med,PMC7158951,GSE124353,Mus musculus
Nat_Med,PMC7158951,GSE124356,Mus musculus
Nat_Med,PMC7158951,GSE124355,Mus musculus
J_Exp_Med,PMC4267246,GSE41878,Mus musculus
Cell_Rep,PMC5466415,GSE70832,Mus musculus
J_Exp_Med,PMC6122963,GSE117895,Mus musculus
PLoS_Genet,PMC4046919,GSE57153,Mus musculus
PLoS_Genet,PMC2757904,GSE18067,Mus musculus
Mol_Cell,PMC4712191,GSE74423,Mus musculus
Cell_Rep,PMC5554778,GSE100597,Mus musculus
Nat_Commun,PMC6534582,GSE130091,Mus musculus
Nat_Cell_Biol,PMC5600325,GSE83467,Mus musculus
BMC_Biol,PMC4508805,GSE69946,Mus musculus
PLoS_One,PMC6764692,GSE136234,Mus musculus
J_Exp_Med,PMC3892979,GSE47003,Mus musculus
J_Exp_Med,PMC3892979,GSE46534,Mus musculus
Cell_Rep,PMC6205837,GSE119775,Mus musculus
PLoS_One,PMC4640841,GSE73787,Mus musculus
J_Am_Heart_Assoc,PMC6474944,GSE119530,Mus musculus
Nat_Commun,PMC6338772,GSE123870,Mus musculus
J_Exp_Med,PMC2118534,GSE7218,Mus musculus
Nat_Commun,PMC3863903,GSE51819,Mus musculus
PLoS_One,PMC4564185,GSE70930,Mus musculus
Nat_Commun,PMC6565714,DRP005048,Mus musculus
PLoS_One,PMC3928427,GSE54084,Mus musculus
Stem_Cell_Reports,PMC5511051,GSE98297,Mus musculus
Nat_Cell_Biol,PMC6400587,ERP107810,Mus musculus
Nat_Commun,PMC6338772,GSE123871,Mus musculus
Cell_Rep,PMC4700052,GSE73977,Mus musculus
J_Exp_Med,PMC3260878,GSE33709,Mus musculus
Nat_Commun,PMC4742834,GSE67672,Mus musculus
J_Exp_Med,PMC3892973,GSE53200,Mus musculus
J_Exp_Med,PMC3244037,GSE32595,Mus musculus
PLoS_Genet,PMC6143275,SRP115182,Mus musculus
