pmc_ID,accession,real_introducer
PMC5486007,GSE82208,
PMC5807049,GSE89072,
PMC6529628,GSE121398,
PMC4277859,GSE56983,
PMC5589904,GSE101434,
PMC2405806,GSE5292,
PMC3087761,GSE24849,
PMC4477606,GSE42572,
PMC3728622,GSE48282,
PMC5385376,GSE87869,
PMC3769143,GSE45610,
PMC6591401,GSE120748,
PMC4358660,GSE63721,
PMC5846732,GSE101398,
PMC5786302,GSE109137,
PMC2547109,GSE10425,
PMC6761125,GSE112443,
PMC6761125,GSE112440,
PMC6761125,GSE112441,
PMC6761125,GSE113059,
PMC6761125,GSE131772,
PMC6761125,GSE113078,
PMC6761125,GSE113076,
PMC6761125,GSE112442,
PMC3113313,GSE25734,
PMC3113313,GSE27084,
PMC6462215,GSE115417,
PMC6097839,GSE104506,
PMC5492891,GSE87862,
PMC5492891,GSE84523,
PMC5042512,GSE77198,
PMC5210409,GSE83659,
PMC5210409,GSE83979,
PMC6323897,GSE118030,
PMC3523424,GSE29733,
PMC509407,GSE863,
PMC509407,GSM13434,
PMC509407,GSM13433,
PMC509407,GSM13432,
PMC509407,GSM13430,
PMC509407,GSM13428,
PMC509407,GSE862,
PMC509407,GSM13429,
PMC509407,GSM13426,
PMC509407,GSM13427,
PMC509407,GSM13421,
PMC509407,GSM13420,
PMC509407,GSM13424,
PMC509407,GSM13423,
PMC6599970,GSE132954,
PMC3799453,GSE46850,
PMC5435338,GSE90028,
PMC6785633,GSE128675,
PMC4829315,GSE71284,
PMC5823660,GSE85101,
PMC6156198,GSE119622,
PMC4759767,GSE76126,
PMC4759767,GSE76127,
PMC5609954,GSE93175,
PMC4848580,GSE73090,
PMC7023829,GSE135948,
PMC6453566,GSE114077,
PMC3564008,GSE32504,
PMC3546934,GSE40861,
PMC5070013,GSE84307,
PMC2800220,GSE16731,
PMC1924859,GSE5401,
PMC6125436,GSE40622,
PMC6125436,GSE112757,
PMC6125436,GSE112756,
PMC6112358,GSE111406,
PMC3428657,GSE37367,
PMC3428657,GSE37360,
PMC3428657,GSE37368,
PMC4728775,GSE76433,
PMC3796489,GSE47982,
PMC3796489,GSE50981,
PMC3784563,GSE42600,
PMC3784563,GSE40536,
PMC5293154,GSE83546,
