,journal,pmc_ID,accession,converted_accession
0,Alzheimers_Res_Ther,PMC3707052,GSM1,GSE506
1,Alzheimers_Res_Ther,PMC3706879,GSE45534,GSE45534
5,Alzheimers_Res_Ther,PMC4255636,GSE5281,GSE5281
6,Alzheimers_Res_Ther,PMC4731966,GSE67036,GSE67036
7,Alzheimers_Res_Ther,PMC4731966,GSE1297,GSE1297
8,Alzheimers_Res_Ther,PMC4731966,GSE48350,GSE48350
9,Alzheimers_Res_Ther,PMC4731966,GSE36980,GSE36980
10,Alzheimers_Res_Ther,PMC4731966,GSE12679,GSE12679
11,Alzheimers_Res_Ther,PMC4731966,GSE12293,GSE12293
17,Alzheimers_Res_Ther,PMC4731966,GSE46871,GSE46871
41,Alzheimers_Res_Ther,PMC5513091,GSE93678,GSE93678
42,Alzheimers_Res_Ther,PMC5819208,GSE44772,GSE44772
43,Alzheimers_Res_Ther,PMC5819208,GSE44771,GSE44771
45,Alzheimers_Res_Ther,PMC6015462,GSE60862,GSE60862
46,Alzheimers_Res_Ther,PMC6015462,GSE5281,GSE5281
47,Alzheimers_Res_Ther,PMC6015462,GSE29378,GSE29378
48,Alzheimers_Res_Ther,PMC6015462,GSE36980,GSE36980
49,Alzheimers_Res_Ther,PMC6015462,GSE48350,GSE48350
66,Alzheimers_Res_Ther,PMC6015462,GSE9566,GSE9566
77,Biol_Direct,PMC2928186,GSE2361,GSE2361
78,Biol_Direct,PMC2928186,GSE952,GSE952
81,Biol_Direct,PMC1500996,GPL4,GSE14;GSE15309
82,Biol_Direct,PMC1634740,GDS422,NaN
83,Biol_Direct,PMC1634740,GDS596,NaN
84,Biol_Direct,PMC1634740,GDS181,GSE96
85,Biol_Direct,PMC1634740,GSM763,NaN
86,Biol_Direct,PMC1634740,GSM676,NaN
87,Biol_Direct,PMC1634740,GSM761,NaN
88,Biol_Direct,PMC1634740,GSM695,NaN
89,Biol_Direct,PMC1634740,GSM786,NaN
90,Biol_Direct,PMC1634740,GSM1499,NaN
91,Biol_Direct,PMC1634740,GSM708,NaN
92,Biol_Direct,PMC1634740,GSM785,NaN
93,Biol_Direct,PMC1634740,GSM762,NaN
94,Biol_Direct,PMC1634740,GSM719,NaN
95,Biol_Direct,PMC1634740,GSM721,NaN
96,Biol_Direct,PMC1634740,GSM716,NaN
97,Biol_Direct,PMC1634740,GSM14750,NaN
98,Biol_Direct,PMC1634740,GSM14749,NaN
99,Biol_Direct,PMC1634740,GSM764,NaN
100,Biol_Direct,PMC1634740,GSM685,NaN
101,Biol_Direct,PMC1634740,GSM739,NaN
102,Biol_Direct,PMC1634740,GSM14752,NaN
103,Biol_Direct,PMC1634740,GSM2386,NaN
104,Biol_Direct,PMC1634740,GSM713,NaN
129,Biol_Direct,PMC1634740,GPL4,GSE14;GSE15309
130,Biol_Direct,PMC1634740,GPL6,GSE694
132,Biol_Direct,PMC1634740,GDS594,NaN
136,Biol_Direct,PMC2453111,GSE5095,GSE5095
137,Biol_Direct,PMC2453111,GSE6969,GSE6969
138,Biol_Direct,PMC2794262,GPL2025,GSE49020
140,Biol_Direct,PMC5168849,GSE47792,GSE47792
141,Biol_Direct,PMC3201895,GSM487450,GSE19553
142,Biol_Direct,PMC3201895,GSM487448,GSE19553
143,Biol_Direct,PMC3201895,GSM487453,GSE19553
151,Biol_Direct,PMC2211459,GSE3798,GSE3798
152,Biol_Direct,PMC3120802,GSE243371,NaN
153,Biol_Direct,PMC2762993,GSE5086,GSE5086
154,Biol_Direct,PMC2883972,GSE12974,GSE12974
156,Biol_Direct,PMC5041498,GSE43580,GSE43580
157,Biol_Direct,PMC5041498,GSE10245,GSE10245
158,Biol_Direct,PMC5041498,GSE18842,GSE18842
159,Biol_Direct,PMC5041498,GSE2109,GSE2109
162,Biol_Direct,PMC5041498,GSE21942,GSE21942
165,Biol_Direct,PMC5041498,GSE31799,GSE31799
172,Biol_Direct,PMC2922100,GSE4446,GSE4446
174,Biol_Direct,PMC2922100,GSE9531,GSE9531
176,Biol_Direct,PMC2922100,GSE7094,GSE7094
178,Biol_Direct,PMC2922100,GDS596,NaN
180,Biol_Direct,PMC2922100,GSE8070,GSE8070
188,Biol_Direct,PMC3937023,SRP028846,SRP028846
189,Biol_Direct,PMC3937023,GSE50858,GSE50858
190,Biol_Direct,PMC4022013,GSM722763,GSE29184;GSE29218
191,Biol_Direct,PMC4022013,GSM722762,GSE29184;GSE29218
192,Biol_Direct,PMC4022013,GSM722759,GSE29184;GSE29218
193,Biol_Direct,PMC4022013,GSM722760,GSE29184;GSE29218
194,Biol_Direct,PMC4022013,GSM851275,GSE29184;GSE29218
195,Biol_Direct,PMC5093996,GSE26854,GSE26854
196,Biol_Direct,PMC5093996,GSE32527,GSE32527
197,Biol_Direct,PMC5093996,PRJNA271310,SRP051610
200,Biol_Direct,PMC4094694,GSM765405,GSE26284;GSE30567;GSE49417
202,Biol_Direct,PMC3655853,PRJNA189432,NaN
203,Biol_Direct,PMC3655853,PRJNA189433,NaN
204,Biol_Direct,PMC4214606,SRX112027,SRP009872
205,Biol_Direct,PMC4214606,SRX113068,SRP009872
206,Biol_Direct,PMC4214606,SRX112904,SRP009872
207,Biol_Direct,PMC4214606,SRX115899,SRP010319
208,Biol_Direct,PMC4214606,PRJNA214746,NaN
209,Biol_Direct,PMC4214606,SRR1216390,SRP018536
210,Biol_Direct,PMC4214606,SRX099247,SRP007299
211,Biol_Direct,PMC4214606,SRX101205,SRP007299
212,Biol_Direct,PMC4214606,SRX101272,SRP007299
213,Biol_Direct,PMC4214606,SRX101273,SRP007299
214,Biol_Direct,PMC4214606,SRX101274,SRP007299
215,Biol_Direct,PMC4214606,SRX101275,SRP007299
216,Biol_Direct,PMC4214606,SRX103458,SRP007299
217,Biol_Direct,PMC4214606,SRX101672,SRP007299
218,Biol_Direct,PMC4214606,SRX092157,SRP007299
219,Biol_Direct,PMC4214606,SRX092159,SRP007299
220,Biol_Direct,PMC4214606,SRX092158,SRP007299
235,Biol_Direct,PMC4409740,PRJNA202380,SRP022254
236,Biol_Direct,PMC4415297,GSE50081,GSE50081
238,Biol_Direct,PMC4411706,SRR000294,SRP000059
239,Biol_Direct,PMC4411706,SRR000291,SRP000059
240,Biol_Direct,PMC4411706,SRR000328,SRP000074
241,Biol_Direct,PMC4411706,SRR000331,SRP000074
242,Biol_Direct,PMC4545970,SRX952269,SRP056094
244,Biol_Direct,PMC4572633,GSM127863,GSE5511
248,Biol_Direct,PMC4599653,GPL96,GSE19301
250,Biol_Direct,PMC4710016,SRP059219,SRP059219
251,Biol_Direct,PMC4710016,SRR2054788,SRP059219
252,Biol_Direct,PMC4710016,SRR2054787,SRP059219
253,Biol_Direct,PMC4862193,SRR405089,SRP010374
254,Biol_Direct,PMC4862193,SRR405091,SRP010374
255,Biol_Direct,PMC4862193,SRR522871,SRP014427
256,Biol_Direct,PMC4862193,SRR522872,SRP014427
257,Biol_Direct,PMC4862193,SRR522896,SRP014427
258,Biol_Direct,PMC4862193,SRR522897,SRP014427
259,Biol_Direct,PMC4862193,SRR392998,SRP010040
260,Biol_Direct,PMC4862193,SRR393000,SRP010040
261,Biol_Direct,PMC4862193,SRR393006,SRP010040
262,Biol_Direct,PMC4862193,SRR393008,SRP010040
263,Biol_Direct,PMC4862193,SRR407274,SRP010825
264,Biol_Direct,PMC4862193,SRR407276,SRP010825
265,Biol_Direct,PMC4862193,SRR364364,SRP009321
266,Biol_Direct,PMC4862193,SRR364366,SRP009321
267,Biol_Direct,PMC4862193,SRR364368,SRP009321
268,Biol_Direct,PMC4862193,SRR407637,SRP010374
269,Biol_Direct,PMC4862193,SRR407638,SRP010374
270,Biol_Direct,PMC4862193,SRR618770,SRP014629
271,Biol_Direct,PMC4862193,SRR618771,SRP014629
272,Biol_Direct,PMC4862193,SRR619099,SRP017263
273,Biol_Direct,PMC4862193,SRR619100,SRP017263
274,Biol_Direct,PMC4862193,SRR970490,SRP029589
275,Biol_Direct,PMC4862193,SRR970538,SRP029589
276,Biol_Direct,PMC4862193,SRR1173905,SRP038695
277,Biol_Direct,PMC4862193,SRR1173909,SRP038695
278,Biol_Direct,PMC4862193,SRR315620,SRP007567
279,Biol_Direct,PMC4862193,SRR315623,SRP007567
280,Biol_Direct,PMC4862193,SRR315601,Illumina
281,Biol_Direct,PMC4862193,SRR315624,Illumina
282,Biol_Direct,PMC4862193,SRR315627,Illumina
283,Biol_Direct,PMC4862193,SRR014374,SRP000637
284,Biol_Direct,PMC4862193,SRR014377,SRP000637
285,Biol_Direct,PMC4862193,SRR387904,SRP009639
286,Biol_Direct,PMC4862193,SRR387905,SRP009639
287,Biol_Direct,PMC4862193,SRR1040415,SRP028614
288,Biol_Direct,PMC4862193,SRR1040423,SRP028614
289,Biol_Direct,PMC4862193,SRR1040427,SRP028614
290,Biol_Direct,PMC4862193,SRR948553,SRP028552
291,Biol_Direct,PMC4862193,SRR948555,SRP028552
292,Biol_Direct,PMC4862193,GSM125997,GSE5479
293,Biol_Direct,PMC4862193,GSM854439,GSE34743
294,Biol_Direct,PMC5027095,GSE30567,GSE30567
295,Biol_Direct,PMC5027095,ERP002100,ERP002100
296,Biol_Direct,PMC5078909,GSE47851,GSE47851
297,Biol_Direct,PMC5078909,GSE54932,GSE54932
298,Biol_Direct,PMC5078909,GSE53398,GSE53398
312,Biol_Direct,PMC4355521,GSE6846,GSE6846
313,Biol_Direct,PMC4355521,GSE27379,GSE27379
314,Biol_Direct,PMC4355521,GSE28651,GSE28651
315,Biol_Direct,PMC4355521,GSM157835,GSE6846
316,Biol_Direct,PMC4355521,GSM157837,GSE6846
317,Biol_Direct,PMC4355521,GSM677065,GSE27379
319,Biol_Direct,PMC4355521,GSM709834,GPL1261
320,Biol_Direct,PMC4355521,GSM709836,GPL1261
321,Biol_Direct,PMC4355521,GSM709832,GPL1261
322,Biol_Direct,PMC4355521,GSM709833,GPL1261
323,Biol_Direct,PMC3472322,SRP008452,SRP008452
324,Biol_Direct,PMC3472322,SRX028651,SRP003755
325,Biol_Direct,PMC3574835,GSM647184,GSE26356
326,Biol_Direct,PMC5392957,SRP067296,SRP067296
327,Biol_Direct,PMC5480421,GSE26342,GSE26342
328,Biol_Direct,PMC5480421,GSE7410,GSE7410
329,Biol_Direct,PMC5480421,GSE9750,GSE9750
330,Biol_Direct,PMC5480421,GSE6791,GSE6791
331,Biol_Direct,PMC5480421,GSE7803,GSE7803
335,Biol_Direct,PMC5480421,GDS3233,GSE9750
336,Biol_Direct,PMC5480421,GSE29009,GSE29009
341,Biol_Direct,PMC5480421,GSE60568,GSE60568
342,Biol_Direct,PMC5591544,PRJNA201497,SRP022744
343,Biol_Direct,PMC5591544,PRJNA345530,SRP091679
344,Biol_Direct,PMC5591544,PRJNA245226,SRP041393
347,Biol_Direct,PMC5644247,SRX2596625,SRP091668
348,Biol_Direct,PMC5644247,SRX2596624,SRP091668
349,Biol_Direct,PMC5644247,SRR2733100,SRP065022
350,Biol_Direct,PMC5644247,SRR1573934,SRP047065
351,Biol_Direct,PMC5644247,SRR1573935,SRP047065
354,Biol_Direct,PMC5809866,GSE67074,GSE67074
355,Biol_Direct,PMC5809866,GSE47774,GSE47774
357,Biol_Direct,PMC5822623,GSE22260,GSE22260
358,Biol_Direct,PMC5822623,GSE50760,GSE50760
359,Biol_Direct,PMC5822623,GSE87340,GSE87340
366,Biol_Direct,PMC5907722,GSE45480,GSE45480
367,Biol_Direct,PMC5907722,GSE56109,GSE56109
368,Biol_Direct,PMC5907722,GSE25771,GSE25771
369,Biol_Direct,PMC5907722,GSE35953,GSE35953
370,Biol_Direct,PMC5944035,PRJNA301589,SRP073814
371,Biol_Direct,PMC5944035,PRJNA271013,SRP051511
374,Biol_Direct,PMC5977759,GSE49711,GSE49711
376,Biol_Direct,PMC5992838,GSE49710,GSE49710
377,Biol_Direct,PMC5992838,GSE62564,GSE62564
378,Biol_Direct,PMC6106876,GSE49711,GSE49711
379,Biol_Direct,PMC6104016,SRR072232,SRP004311
380,Biol_Direct,PMC6104016,SRX034809,SRP004875
383,Biol_Direct,PMC6148774,GSE49711,GSE49711
384,Biol_Direct,PMC6148774,GSE25771,GSE25771
385,Biol_Direct,PMC6148774,GSE35951,GSE35951
386,Biol_Direct,PMC6148774,GSE45480,GSE45480
387,Biol_Direct,PMC6148774,GSE56109,GSE56109
388,Biol_Direct,PMC6466799,SRR3136159,SRP069104
389,Biol_Direct,PMC6466799,SRR3136185,SRP069104
390,Biol_Direct,PMC6466799,SRR3136188,SRP069104
391,Biol_Direct,PMC6466799,SRR3136190,SRP069104
392,Biol_Direct,PMC6466799,SRR3136192,SRP069104
393,Biol_Direct,PMC6489180,GSE49711,GSE49711
394,Biol_Direct,PMC6489180,GSE62564,GSE62564
395,BMC_Neurosci,PMC2758888,GSE17929,GSE17929
397,BMC_Neurosci,PMC5240207,GSE69038,GSE69038
399,BMC_Neurosci,PMC1831778,GSE3965,GSE3965
400,BMC_Neurosci,PMC2194693,GSE9391,GSE9391
401,BMC_Neurosci,PMC2204004,GSE6678,GSE6678
402,BMC_Neurosci,PMC2216081,GSE6904,GSE6904
403,BMC_Neurosci,PMC2245955,GSE9744,GSE9744
404,BMC_Neurosci,PMC2677396,GSE7139,GSE7139
405,BMC_Neurosci,PMC2736963,GSE11334,GSE11334
406,BMC_Neurosci,PMC2377268,GSE11139,GSE11139
409,BMC_Neurosci,PMC2396630,GSE10291,GSE10291
410,BMC_Neurosci,PMC2518924,GSE8307,GSE8307
412,BMC_Neurosci,PMC3040714,GSE9566,GSE9566
413,BMC_Neurosci,PMC3040714,GSE2882,GSE2882
414,BMC_Neurosci,PMC4635574,GSE62760,GSE62760
416,BMC_Neurosci,PMC2733140,GSE13166,GSE13166
417,BMC_Neurosci,PMC3032748,GSE25342,GSE25342
418,BMC_Neurosci,PMC3121619,GSE24629,GSE24629
419,BMC_Neurosci,PMC3464170,GSE13564,GSE13564
420,BMC_Neurosci,PMC2567987,GSE2378,GSE2378
421,BMC_Neurosci,PMC2567987,GSE758,GSE758
422,BMC_Neurosci,PMC2727955,GSE17117,GSE17117
424,BMC_Neurosci,PMC2894843,GSE20907,GSE20907
427,BMC_Neurosci,PMC2939656,GSE20949,GSE20949
428,BMC_Neurosci,PMC3175199,GSE29669,GSE29669
429,BMC_Neurosci,PMC3441342,GSE29885,GSE29885
430,BMC_Neurosci,PMC3576285,GSE41821,GSE41821
431,BMC_Neurosci,PMC3751855,GDS1331,GSE1751
432,BMC_Neurosci,PMC3751855,GDS1332,GSE1767
433,BMC_Neurosci,PMC3751855,GDS2887,GSE8762
436,BMC_Neurosci,PMC3849476,GSE17612,GSE17612
437,BMC_Neurosci,PMC3849476,GSE21138,GSE21138
439,BMC_Neurosci,PMC3840590,GSE27492,GSE27492
441,BMC_Neurosci,PMC3840590,GSE43627,GSE43627
443,BMC_Neurosci,PMC3840590,GSE22371,GSE22371
445,BMC_Neurosci,PMC3840590,GSE33619,GSE33619
447,BMC_Neurosci,PMC3724485,GSE42676,GSE42676
448,BMC_Neurosci,PMC3717020,GSE7905,GSE7905
450,BMC_Neurosci,PMC3735397,GSE37476,GSE37476
453,BMC_Neurosci,PMC3937001,GSE53430,GSE53430
454,BMC_Neurosci,PMC3941971,GDS1490,GSE3594
456,BMC_Neurosci,PMC3973933,GSE48911,GSE48911
457,BMC_Neurosci,PMC4027996,GSE42770,GSE42770
458,BMC_Neurosci,PMC4050392,GSE42676,GSE42676
459,BMC_Neurosci,PMC4560885,GSE71579,GSE71579
460,BMC_Neurosci,PMC5381047,SRA027300,SRP004871
461,BMC_Neurosci,PMC5381047,GSM881059,GSE36099;GSE36104
462,BMC_Neurosci,PMC5381047,GSM881134,GSE36099;GSE36104
463,BMC_Neurosci,PMC5381047,GSM881114,GSE36099;GSE36104
464,BMC_Neurosci,PMC5381047,GSM881079,GSE36099;GSE36104
465,BMC_Neurosci,PMC5381047,GSM881162,GSE36099;GSE36104
466,BMC_Neurosci,PMC5381047,GSM881150,GSE36099;GSE36104
467,BMC_Neurosci,PMC5381047,GSM881154,GSE36099;GSE36104
469,BMC_Neurosci,PMC5381047,GSM912922,GSE36030;GSE49847;GSE51334
471,BMC_Neurosci,PMC5381047,GSE78281,GSE78281
472,BMC_Neurosci,PMC5559865,GSE81461,GSE81461
473,BMC_Neurosci,PMC5998904,SRP035524,SRP035524
475,BMC_Neurosci,PMC6053765,GSE106820,GSE106820
476,BMC_Neurosci,PMC6053765,GSE83431,GSE83431
477,BMC_Neurosci,PMC6134793,GSM686976,GSE27826
478,BMC_Neurosci,PMC6134793,GSM881056,GSE36099;GSE36104
479,BMC_Neurosci,PMC6134793,GSM88115,GSE3848
480,BMC_Neurosci,PMC6134793,GSM530190,GSE21161
481,BMC_Neurosci,PMC6134793,GSM881094,GSE36099;GSE36104
482,BMC_Neurosci,PMC6134793,GSE117174,GSE117174
483,BMC_Neurosci,PMC4364644,GSE27860,GSE27860
484,BMC_Neurosci,PMC4364644,GSE57484,GSE57484
485,BMC_Neurosci,PMC4436769,GSE63617,GSE63617
488,BMC_Neurosci,PMC4261767,GSE59203,GSE59203
489,BMC_Neurosci,PMC4261767,GSE59310,GSE59310
490,BMC_Neurosci,PMC4949774,GSE15745,GSE15745
491,BMC_Neurosci,PMC5134101,GSE77384,GSE77384
492,BMC_Neurosci,PMC4875640,GSE69151,GSE69151
494,BMC_Neurosci,PMC1310614,GSE3396,GSE3396
495,BMC_Biochem,PMC2921344,GSE22452,GSE22452
496,BMC_Biochem,PMC2955586,GSE20601,GSE20601
499,BMC_Biochem,PMC4126993,GSE24097,GSE24097
502,BMC_Biochem,PMC5134233,GSE19826,GSE19826
503,BMC_Biochem,PMC5134233,GSE27342,GSE27342
504,BMC_Infect_Dis,PMC4233057,PRJNA262506,SRP048224
505,BMC_Infect_Dis,PMC2752459,GSE14390,GSE14390
506,BMC_Infect_Dis,PMC2752459,GSE2109,GSE2109
508,BMC_Infect_Dis,PMC2752459,GSE8894,GSE8894
510,BMC_Infect_Dis,PMC2564935,GPL3033,GSE12533
511,BMC_Infect_Dis,PMC2564935,GSE12533,GSE12533
512,BMC_Infect_Dis,PMC5084317,PRJNA290623,NaN
513,BMC_Infect_Dis,PMC5084317,PRJNA306682,SRP067658
514,BMC_Infect_Dis,PMC3599118,ERP000111,ERP000111
515,BMC_Infect_Dis,PMC3037883,GSE18090,GSE18090
516,BMC_Infect_Dis,PMC3037883,GSE9378,GSE9378
517,BMC_Infect_Dis,PMC3037883,GSE13052,GSE13052
518,BMC_Infect_Dis,PMC3189140,GSE28658,GSE28658
519,BMC_Infect_Dis,PMC2826305,GSE16207,GSE16207
520,BMC_Infect_Dis,PMC3163546,GSE28405,GSE28405
521,BMC_Infect_Dis,PMC4994210,GSE51808,GSE51808
524,BMC_Infect_Dis,PMC3679792,GSE24956,GSE24956
525,BMC_Infect_Dis,PMC3848773,GPL16935,GSE45860
526,BMC_Infect_Dis,PMC4061512,GSE56559,GSE56559
527,BMC_Infect_Dis,PMC4061512,GSE56561,GSE56561
528,BMC_Infect_Dis,PMC4061512,GSE40719,GSE40719
529,BMC_Infect_Dis,PMC4474563,ERS003549,ERP000152
530,BMC_Infect_Dis,PMC4474563,ERS006757,ERP000185
531,BMC_Infect_Dis,PMC4474563,ERS006775,ERP000185
532,BMC_Infect_Dis,PMC4474563,ERS012090,ERP000185
533,BMC_Infect_Dis,PMC4474563,ERS012138,ERP000185
534,BMC_Infect_Dis,PMC4474563,ERS012143,ERP000185
535,BMC_Infect_Dis,PMC4474563,ERS050261,ERP000872
536,BMC_Infect_Dis,PMC4474563,ERS050288,ERP000872
537,BMC_Infect_Dis,PMC4474563,ERS050336,ERP000872
538,BMC_Infect_Dis,PMC4474563,ERS050451,ERP000872
539,BMC_Infect_Dis,PMC4474563,ERS096165,ERP000413
540,BMC_Infect_Dis,PMC4474563,ERS096166,ERP000413
541,BMC_Infect_Dis,PMC4474563,ERS096169,ERP000413
542,BMC_Infect_Dis,PMC4474563,ERS096172,ERP000413
543,BMC_Infect_Dis,PMC4474563,ERS096173,ERP000413
550,BMC_Infect_Dis,PMC4474563,ERS096157,ERP000413
551,BMC_Infect_Dis,PMC4474563,ERS096159,ERP000413
552,BMC_Infect_Dis,PMC4474563,ERS096158,ERP000413
557,BMC_Infect_Dis,PMC4608321,DRX032164,DRP002665
558,BMC_Infect_Dis,PMC4608321,DRX032256,DRP002665
559,BMC_Infect_Dis,PMC5259852,GSE69611,GSE69611
564,BMC_Infect_Dis,PMC5282769,PRJNA342178,SRP087582
565,BMC_Infect_Dis,PMC5282769,SRR4195752,SRP087582
566,BMC_Infect_Dis,PMC5282769,SRR4195753,SRP087582
567,BMC_Infect_Dis,PMC5282769,SRR4195754,SRP087582
568,BMC_Infect_Dis,PMC5282769,SRR4195755,SRP087582
569,BMC_Infect_Dis,PMC5282769,SRR4195756,SRP087582
570,BMC_Infect_Dis,PMC5282769,SRR4195757,SRP087582
571,BMC_Infect_Dis,PMC5282769,SRR4195758,SRP087582
572,BMC_Infect_Dis,PMC5282769,SRR4195759,SRP087582
573,BMC_Infect_Dis,PMC5282769,SRR4195761,SRP087582
575,BMC_Infect_Dis,PMC5405508,GSE96550,GSE96550
578,BMC_Infect_Dis,PMC4387708,GSE62306,GSE62306
579,BMC_Infect_Dis,PMC5496404,DRA005275,DRP003343
581,BMC_Infect_Dis,PMC5506614,SRX2961214,SRP110606
582,BMC_Infect_Dis,PMC5506614,SRX2961215,SRP110606
583,BMC_Infect_Dis,PMC5506614,SRA581793,SRP110606
584,BMC_Infect_Dis,PMC4739388,GSE69837,GSE69837
585,BMC_Infect_Dis,PMC5551022,GSE66476,GSE66476
587,BMC_Infect_Dis,PMC5634883,PRJNA385863,NaN
588,BMC_Infect_Dis,PMC5100261,ERS033810,ERP000156
589,BMC_Infect_Dis,PMC5100261,ERS194295,ERP000156
590,BMC_Infect_Dis,PMC5100261,ERP000156,ERP000156
591,BMC_Infect_Dis,PMC4236460,PRJNA232737,NaN
592,BMC_Infect_Dis,PMC4262082,GSE52780,GSE52780
593,BMC_Infect_Dis,PMC5129388,GPL21572,GSE114006
594,BMC_Infect_Dis,PMC5129388,GSE88708,GSE88708
595,BMC_Infect_Dis,PMC5031349,GSE57736,GSE57736
598,BMC_Infect_Dis,PMC5031349,GPL13497,GSE87211
600,BMC_Infect_Dis,PMC5952419,GSE107104,GSE107104
601,BMC_Infect_Dis,PMC6042416,SRR1925378,SRP056429
602,BMC_Infect_Dis,PMC6042416,SRR1925905,SRP056429
603,BMC_Infect_Dis,PMC6042416,SRR1925811,SRP056429
604,BMC_Infect_Dis,PMC6042416,SRR1924572,SRP056429
605,BMC_Infect_Dis,PMC6042416,SRR1925227,SRP056429
606,BMC_Infect_Dis,PMC6042416,SRR1927285,SRP056429
607,BMC_Infect_Dis,PMC6042416,SRR1928041,SRP056429
608,BMC_Infect_Dis,PMC6042416,SRR1931205,SRP056429
617,BMC_Infect_Dis,PMC6052536,PRJNA338313,SRP081290
619,BMC_Infect_Dis,PMC6122477,SRP136087,SRP136087
620,BMC_Infect_Dis,PMC6122477,PRJNA439187,SRP136087
622,BMC_Infect_Dis,PMC6182868,PRJNA244279,NaN
623,BMC_Infect_Dis,PMC6191920,SRR6743837,SRP132947
624,BMC_Infect_Dis,PMC6191920,SRR6743880,SRP132947
627,BMC_Infect_Dis,PMC6206636,SRP163370,NaN
628,BMC_Infect_Dis,PMC6206636,PRJNA494633,NaN
629,BMC_Infect_Dis,PMC6267907,PRJNA186355,SRP019714
630,BMC_Infect_Dis,PMC6267907,PRJNA362852,NaN
631,BMC_Infect_Dis,PMC6276198,PRJNA480117,SRP152720
632,BMC_Infect_Dis,PMC6322324,DRR076334,DRP003335
633,BMC_Infect_Dis,PMC6371417,ERS1812814,ERP023909
634,BMC_Infect_Dis,PMC6371417,ERS1812829,ERP023909
637,BMC_Infect_Dis,PMC6434803,SRP159442,SRP159442
638,BMC_Infect_Dis,PMC6446405,PRJNA315766,SRP074324
641,BMC_Infect_Dis,PMC6480722,PRJNA313047,NaN
643,BMC_Infect_Dis,PMC6542142,SRP066090,SRP066090
644,BMC_Infect_Dis,PMC6542142,SRR2932830,SRP066090
645,BMC_Infect_Dis,PMC6542142,SRR2932847,SRP066090
646,BMC_Infect_Dis,PMC6542142,SRR1021009,SRP032372
647,BMC_Infect_Dis,PMC6542142,SRR540252,SRP014857
648,BMC_Infect_Dis,PMC6542142,SRR629571,SRP017465
649,BMC_Infect_Dis,PMC6542142,SRR2932838,SRP066090
650,BMC_Infect_Dis,PMC6542142,SRR2932841,SRP066090
656,BMC_Infect_Dis,PMC6542142,SRR2932831,SRP066090
657,BMC_Infect_Dis,PMC6542142,SRR2932832,SRP066090
658,BMC_Infect_Dis,PMC6542142,SRR2932833,SRP066090
659,BMC_Infect_Dis,PMC6542142,SRR2932834,SRP066090
660,BMC_Infect_Dis,PMC6542142,SRR2932835,SRP066090
661,BMC_Infect_Dis,PMC6542142,SRR2932839,SRP066090
662,BMC_Infect_Dis,PMC6542142,SRR2932840,SRP066090
663,BMC_Infect_Dis,PMC6542142,SRR2932842,SRP066090
664,BMC_Infect_Dis,PMC6542142,SRR2932843,SRP066090
665,BMC_Infect_Dis,PMC6542142,SRR2932844,SRP066090
666,BMC_Infect_Dis,PMC6542142,SRR2932845,SRP066090
667,BMC_Infect_Dis,PMC6542142,SRR2932846,SRP066090
669,BMC_Infect_Dis,PMC6542142,SRR2932837,SRP066090
671,BMC_Infect_Dis,PMC6542142,SRR2932836,SRP066090
691,Basic_Res_Cardiol,PMC5258789,GSM105949,GSE4690
692,Basic_Res_Cardiol,PMC3597335,GSE39924,GSE39924
693,Basic_Res_Cardiol,PMC3032896,GDS1362,GSE1869
694,Basic_Res_Cardiol,PMC3228945,GSE27962,GSE27962
695,Acta_Vet_Scand,PMC1868913,GSE4577,GSE4577
696,Acta_Vet_Scand,PMC6182802,SRP153398,SRP153398
697,Acta_Vet_Scand,PMC6182802,PRJNA479518,SRP153398
698,Acta_Vet_Scand,PMC6591865,ERS3126950,ERP113603
699,BMC_Nephrol,PMC2533650,GSE11500,GSE11500
700,BMC_Nephrol,PMC2709617,GSE8114,GSE8114
701,BMC_Nephrol,PMC2709617,GSM199994,GSE8114
703,BMC_Nephrol,PMC2936873,GSE19460,GSE19460
704,BMC_Nephrol,PMC4430919,GSE63272,GSE63272
705,BMC_Nephrol,PMC5016939,GSE1009,GSE1009
706,BMC_Nephrol,PMC5016939,GSE30528,GSE30528
710,BMC_Nephrol,PMC5016939,GPL8300,GSE83227
713,BMC_Nephrol,PMC5016939,GPL571,GSE52428
737,BMC_Nephrol,PMC5069870,GSE37460,GSE37460
740,BMC_Nephrol,PMC5069870,GPL11670,GSE69438
741,BMC_Nephrol,PMC5069870,GPL14663,GSE32591;GSE32592
743,BMC_Nephrol,PMC4016589,GSE5104,GSE5104
744,BMC_Nephrol,PMC4016589,GSE3219,GSE3219
745,BMC_Nephrol,PMC4016589,GSE14373,GSE14373
746,BMC_Nephrol,PMC4016589,GSE27274,GSE27274
747,BMC_Nephrol,PMC4016589,GSE9943,GSE9943
748,BMC_Nephrol,PMC4016589,GSE11166,GSE11166
749,BMC_Nephrol,PMC4016589,GSM115035,GSE5104
750,BMC_Nephrol,PMC4016589,GSM115037,GSE5104
751,BMC_Nephrol,PMC4016589,GSM115038,GSE5104
752,BMC_Nephrol,PMC4016589,GSM71831,GSE3219
753,BMC_Nephrol,PMC4016589,GSM71835,GSE3219
754,BMC_Nephrol,PMC4016589,GSM72108,GSE3219
755,BMC_Nephrol,PMC4016589,GSM72109,GSE3219
756,BMC_Nephrol,PMC4016589,GSM72114,GSE3219
757,BMC_Nephrol,PMC4016589,GSM72117,GSE3219
