pmc_ID,accession,real_introducer
PMC5683614,GSE92686,
PMC2443805,GSE7966,
PMC2443805,GPL5170,
PMC6368820,GSE115865,
PMC6122713,GSE107200,
PMC6312353,GSE113733,
PMC3400606,GSM700341,
PMC3400606,GSM700342,
PMC3400606,GSM700343,
PMC3400606,GSM700344,
PMC5860379,GSE84920,
PMC3127740,GSM609244,
PMC3127740,GSM609243,
PMC3127740,GSM609242,
PMC3127740,GSM609248,
PMC3127740,GSM609247,
PMC3127740,GSM609246,
PMC3127740,GSM609225,
PMC3127740,GSM609226,
PMC3127740,GSM609250,
PMC3127740,GSM609219,
PMC3127740,GSM609218,
PMC3127740,GSM609221,
PMC3127740,GSM609217,
PMC3127740,GSM609241,
PMC3127740,GSM609240,
PMC3127740,GSM609235,
PMC3127740,GSM609222,
PMC3127740,GSM609227,
PMC3127740,GSM609228,
PMC4825647,GSE71068,
PMC3454401,GSE35959,
PMC3454401,GSE35957,
PMC3454401,GSE35955,
PMC3454401,GSE35956,
PMC3454401,GSE35958,
PMC6307289,GSE91019,
PMC6307289,GSE91018,
PMC3951414,GSE47561,
PMC4459191,GSE63610,
PMC1934371,GSE3778,
PMC5388394,GSE64489,
PMC6868436,GSE114599,
PMC6756898,GSE121323,
PMC4891697,GSE68651,
PMC4226948,GSE51816,
PMC5802207,GSE97040,
PMC6858884,GSE121277,
PMC6858884,GSE121276,
PMC6995328,GSE126343,
PMC6995328,GSE126498,
PMC2592270,GSE9465,
PMC6876282,GSE106941,
PMC3051915,GSE22418,
PMC4014424,GSE54760,
PMC4014424,GSE54759,
PMC4263189,GSE60585,
PMC4263189,GSE60584,
PMC4263189,GSE60586,
PMC4463610,GSE64523,
PMC3310074,GSE33009,
PMC3310074,GSM818295,
PMC3310074,GSM818294,
PMC3310074,GSM818292,
PMC5892037,GSE111567,
PMC6072793,GSE112243,
PMC4905741,GSE76621,
PMC3894204,GSE49452,
PMC2809116,GSE18762,
PMC4877674,GSE76435,
PMC6850398,GSE119438,
PMC5919936,GSE106407,
PMC3288107,GSE30322,
PMC4523783,GSE68970,
PMC5886226,GSE100197,
PMC4671993,GSE69840,
PMC4552001,GSE66641,
PMC3214047,GSE30356,
PMC4076206,GSE56914,
PMC4401720,GSE53519,
PMC5495632,GSE85500,
PMC5129911,GSE68633,
PMC4909610,GSE59893,
PMC4909610,GSE64816,
PMC5899436,GSE98016,
