WGS,29624
RNA-Seq,18898
AMPLICON,10834
OTHER,3853
miRNA-Seq,1051
Bisulfite-Seq,394
FL-cDNA,243
WGA,616
ChIP-Seq,1243
WXS,564
RAD-Seq,196
Targeted-Capture,195
CLONE,144
ATAC-seq,49
Hi-C,80
Tn-Seq,94
WCS,192
DNase-Hypersensitivity,137
EST,734
MNase-Seq,53
MeDIP-Seq,34
POOLCLONE,93
ncRNA-Seq,41
MBD-Seq,16
CTS,23
Synthetic-Long-Read,39
other,4
RIP-Seq,18
CLONEEND,50
Tethered Chromatin Conformation Capture,3
SELEX,3
ChIA-PET,1
MRE-Seq,17
FINISHING,3
FAIRE-seq,1
