PMC_ID,repo_ID
PMC4887298,SRA053195
PMC4887298,SRA051489
PMC4887298,SRP044380
PMC4344187,TCGA
PMC4344187,SRA160745
PMC5008457,TCGA
PMC5007149,PRJNA279815
PMC5007149,PRJNA217052
PMC5007149,SRX345831
PMC5007149,SRX344363
PMC5007149,SRX344765
PMC5007149,SRX343094
PMC5007149,SRX344442
PMC5007149,SRX346405
PMC5007149,SRX343839
PMC5007149,SRX343780
PMC5007149,SRX345901
PMC5007149,SRX344600
PMC5007149,SRX343866
PMC5007149,SRX343411
PMC5007149,SRX344189
PMC5007149,SRX344380
PMC5007149,SRX346966
PMC5007149,SRX345329
PMC5007149,SRX343800
PMC5007149,SRX344616
PMC5292764,SRP048540
PMC5292764,SRP048540
PMC5045719,GSE32061
PMC5045719,GSE76688
PMC5045719,TCGA
PMC5045719,TCGA
PMC5045719,GSE78172
PMC5045719,GSE78172
PMC5045719,GSE78172
PMC5199618,TCGA
PMC5199618,GTEx
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,SRP042948
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,TCGA
PMC5199621,SRP042948
PMC5199621,SRP028176
PMC5322472,SRP092492
PMC5322472,SRP092492
PMC5423094,TCGA
PMC5423094,SRP090954
PMC5334791,GSE92872
PMC5334791,GSE92872
PMC5330805,GSE52583
PMC5330805,GSE54695
PMC5330805,GSE67310
PMC5330805,GSE54006
PMC5330805,GSE51254
PMC5330805,GSE52529
PMC5330805,GSE41265
PMC5330805,GSE45719
PMC5330809,GSE84290
PMC5330809,GSE84290
PMC5376227,GSE92495
PMC5376499,GSE53334
PMC5376499,GSE65785
PMC5376499,GSE67833
PMC5376499,GSE53386
PMC5376499,GSE71318
PMC5376499,GSE46980
PMC5376499,GSE60361
PMC5376499,GSE60768
PMC5376499,GSE54695
PMC5376499,GSE78779
PMC5376499,GSE54006
PMC5376499,GSE72857
PMC5376499,GSE63473
PMC5376499,GSE65525
PMC5376499,ERP010108
PMC5376499,ERP005640
PMC5376499,ERP006670
PMC5376499,ERP010952
PMC5376499,ERP013160
PMC5376499,SRP030617
PMC5376499,SRP041736
PMC5376499,SRP033209
PMC5376499,SRP055153
PMC5376499,SRP045422
PMC5376499,SRP047290
PMC5376499,SRP025171
PMC5376499,SRP050499
PMC5376499,SRP073767
PMC5376499,SRP055153
PMC5376499,ERP010952
PMC5376499,SRP070989
PMC5600148,ERR188021
PMC5600148,ERR188021
PMC5449203,GSE30567
PMC5410170,GSE79102
PMC5410170,GSE79102
PMC5419720,TCGA
PMC5419720,TCGA
PMC5419720,TCGA
PMC5419720,TCGA
PMC5490986,GSE81026
PMC5473255,GSE64016
PMC5473255,GSE29087
PMC5473255,GSE75748
PMC5473255,GSE85917
PMC5473255,GSE85917
PMC5482724,ERP010710
PMC5482724,ERR194147
PMC5482724,ERR194160
PMC5482724,ERR194161
PMC5482724,ERR194147
PMC5482724,SRR826463
PMC5482724,SRR826467
PMC5482724,SRR826469
PMC5482724,ERR194160
PMC5482724,SRR826427
PMC5482724,SRR826448
PMC5482724,SRR826465
PMC5482724,ERR194161
PMC5482724,SRR826428
PMC5482724,SRR826473
PMC5482724,SRR826471
PMC5482724,ERR174310
PMC5482724,ERR174341
PMC5482724,ERR194160
PMC5482724,ERR194161
PMC5482724,SRR622457
PMC5482724,SRR622458
PMC5482724,SRR622459
PMC5482724,SRR826463
PMC5482724,SRR826467
PMC5482724,SRR826469
PMC5482724,SRR826427
PMC5482724,SRR826448
PMC5482724,SRR826465
PMC5482724,SRR826428
PMC5482724,SRR826471
PMC5482724,SRR826473
PMC5482724,ERR194148
PMC5482724,ERR218433
PMC5482724,ERR324432
PMC5482724,ERR324433
PMC5482724,ERR194152
PMC5482724,ERR324434
PMC5482724,ERR194154
PMC5482724,ERR194155
PMC5482724,ERR324435
PMC5482724,ERR194157
PMC5482724,ERR194162
PMC5408311,SRR2141560
PMC5408311,SRR2141570
PMC5408311,SRX204116
PMC5408311,SRX202787
PMC5408311,SRX202978
PMC5408311,SRX204744
PMC5408311,SRP067062
PMC5408311,SRP067062
PMC5540177,TCGA
PMC5495136,TCGA
PMC5495136,TCGA
PMC5495136,TCGA
PMC5501199,SRP039021
PMC5501199,GSE55347
PMC5501199,GTEx
PMC4988053,TCGA
PMC4988053,TCGA
PMC4988053,TCGA
PMC4988053,TCGA
PMC2724489,GSE6727
PMC2724489,GSE6653
PMC2734845,GSE13837
PMC2734845,GSE1742
PMC2734845,GSE2624
PMC2734845,GSE1742
PMC2734845,GSE2624
PMC2734845,GSE13837
PMC2734845,GSE1742
PMC2734845,GSE2624
PMC2734845,GSE13837
PMC2734845,GSE1742
PMC2734845,GSE2624
PMC2714305,GPS1
PMC2680807,GSE2508
PMC2680807,GSE4692
PMC2680807,GSE11393
PMC2680807,GSE8251
PMC2680807,GSE3952
PMC2680807,GSE3952
PMC2680807,GSE3952
PMC2680807,GSE1600
PMC2680807,GSE4327
PMC2680807,GSE1458
PMC2680807,GSE11393
PMC2680807,GSE5023
PMC2680807,GSE12654
PMC2680807,GSE12654
PMC2680807,GSE12654
PMC2680807,GSE3327
PMC2680807,GSE7329
PMC2680807,GSE6575
PMC2680807,GSE5023
PMC2680807,GSE9751
PMC2873318,GSE9055
PMC2873318,GSE10778
PMC2873318,GSE9055
PMC2873318,GSE10778
PMC2873318,GSE9055
PMC2873318,GSE9055
PMC2876063,TCGA
PMC2876063,TCGA
PMC2877006,TCGA
PMC2873316,GSE14095
PMC2936295,TCGA
PMC3012048,GSE26083
PMC3014970,GSE23920
PMC3019180,GPL339
PMC3019180,GPL340
PMC3019180,GSE3223
PMC3019180,GSE3231
