PMC_ID,repo_ID
PMC4656992,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927921,TCGA
PMC4927845,TCGA
PMC4927845,TCGA
PMC4927845,TCGA
PMC4927845,TCGA
PMC4927886,TCGA
PMC4969693,TCGA
PMC4969693,TCGA
PMC4969693,TCGA
PMC4969692,TCGA
PMC4969692,TCGA
PMC5227119,GDS1
PMC5227119,GDS1
PMC5227119,GDS1
PMC5227119,GDS1
PMC5227119,GDS1
PMC5223008,SRP028306
PMC5164905,TCGA
PMC4147376,TCGA
PMC5087216,TCGA
PMC5429102,TCGA
PMC4937200,TCGA
PMC4937200,TCGA
PMC4937200,TCGA
PMC4937200,TCGA
PMC4937200,TCGA
PMC4937200,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117336,TCGA
PMC3117373,GSE20194
PMC3117386,ERX002508
PMC3117390,GSE6536
PMC3117390,GSE6536
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC4816033,TCGA
PMC3117360,SRX024329
PMC4147902,GSE19804
PMC4147902,GSE7670
PMC4147902,GSE10072
PMC4147902,GSE8894
PMC4147902,GSE19804
PMC4147902,GSE7670
PMC4147902,GSE10071
PMC4147902,GSE19188
PMC4147902,GSE31547
PMC4147902,GSE39582
PMC4147902,GSE17536
PMC4147902,GSE8894
PMC4147902,GSE8894
PMC4147902,GSE39585
PMC4147902,GSE8894
PMC4147902,GSE3141
PMC4147902,GSE39582
PMC4147902,GSE39582
PMC4147902,GSE17536
PMC4147902,GSE8894
PMC4147902,GSE3141
PMC4147902,GSE17536
PMC4147902,GSE19188
PMC4147902,GSE31547
PMC4147902,GSE10082
PMC4147902,GSE7670
PMC4147902,GSE10072
PMC4147902,GSE10082
PMC4147902,GSE7670
PMC4147902,GSE10072
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147926,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147919,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147920,TCGA
PMC4147892,SRR020796
PMC4147928,TCGA
PMC4147907,GSE8799
PMC5039925,SRP020483
PMC3167058,SRX016064
PMC3167058,SRR038848
PMC3167058,SRR038851
PMC3167058,SRR064149
PMC3167058,SRR064152
PMC3167058,SRR032112
PMC3167058,SRR032115
PMC3167058,SRR038848
PMC3167058,SRR038849
PMC3167058,SRR038850
PMC3167058,SRR038851
PMC3167058,SRR032112
PMC3167058,SRR032113
PMC3167058,SRR032114
PMC3167058,SRR032115
PMC4542783,TCGA
PMC4542784,SRR063416
PMC4542784,SRX032913
PMC4542784,ERP002324
PMC4426835,GSE4757
PMC4892416,SRR332171
PMC4892416,SRX011545
PMC4892416,SRR1020625
PMC4892416,SRR309265
PMC4896364,SRX130930
PMC4896364,SRX130937
PMC4896364,SRX130922
PMC4896364,SRX130928
PMC4896364,SRX130930
PMC4896364,SRX130954
PMC4896364,SRX130936
PMC4896364,SRX130949
PMC4896366,SRX030841
PMC4253827,SRX026594
PMC4253827,SRX026594
PMC3117372,TCGA
PMC3117372,TCGA
PMC4765863,TCGA
PMC4765863,GSE51403
PMC4765863,GSE51403
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765863,TCGA
PMC4765881,GSE44564
PMC4765874,SRR606249
PMC4443673,TCGA
PMC4443673,TCGA
PMC4443673,TCGA
PMC4443673,TCGA
PMC4443678,SRR072220
PMC4443678,SRR072239
PMC4443678,SRR072221
PMC4443678,SRR072223
PMC4443678,SRR072237
PMC4325541,SRX215630
PMC3106194,SRR029691
PMC3244761,SRR020796
PMC3244761,SRR020796
PMC3244761,SRR020796
PMC3324515,SRX011545
PMC3324515,SRX017794
PMC2958743,GSE8961
PMC2958743,GSE1815
PMC2958743,GSE7246
PMC2958743,GSE6802
PMC2971573,GSE10364
PMC2639278,GPL96
PMC3278765,SRR065497
PMC3278765,SRR065533
PMC3278765,SRR065497
PMC3278765,SRR065533
PMC3278765,SRR065497
PMC3278765,SRR065533
PMC3278765,SRR065497
PMC3278765,SRR065533
PMC3315713,GSE9646
PMC3315713,GSE15700
PMC3315713,GSE26074
PMC3315722,GPL3
PMC3371835,TCGA
PMC3371835,TCGA
PMC3371835,TCGA
PMC3371835,TCGA
PMC3371835,TCGA
PMC3371835,TCGA
PMC3371846,GPS2
PMC3371846,GPS2
PMC3371846,GPS2
PMC3042180,GSE1004
PMC3042180,GPL91
PMC3042180,GSE7187
PMC3042180,GPL339
PMC4441069,SRP010181
PMC4441069,ERA002336
PMC3051324,GDS3216
PMC3051324,GDS3225
PMC3051324,GDS1404
PMC3051324,GDS1686
PMC3051324,GDS1375
PMC3051324,GDS810
PMC3051324,GDS2960
PMC3051324,GDS660
PMC3051324,GDS3221
PMC3051324,GDS3162
PMC3051324,GDS1555
PMC3051324,GDS2946
PMC3051324,GDS972
PMC3051324,GDS1686
PMC3051324,GDS3216
PMC3051324,GDS1375
PMC3051324,GDS3216
PMC3051324,GDS810
PMC3051324,GDS3225
PMC3051324,GDS1375
PMC3051324,GDS2960
PMC3051324,GDS1555
PMC3051324,GDS972
PMC3051324,GDS3216
PMC3051324,GDS3225
PMC3051324,GDS1555
PMC3051324,GDS3216
PMC3051324,GDS1375
PMC3051324,GDS2960
PMC3137215,ERR020229
PMC3223363,SRR033650
PMC3223363,ERR005143
PMC3223363,SRR067771
PMC3223363,SRR067773
PMC3223363,SRR067777
PMC3223363,SRR067779
PMC3223363,SRR067781
PMC3223363,SRR067778
PMC3223363,SRR067776
PMC3223363,SRR067786
PMC3223368,GPL1444
PMC3223368,GPL1444
PMC3268249,SRR039230
PMC3268249,SRR039230
PMC4679392,SRR309230
PMC4679392,SRR309230
PMC4679392,SRR837425
PMC4679392,SRR309230
PMC4679392,SRR309230
PMC4679392,SRR837425
PMC4679392,SRR309230
PMC4679392,SRR837425
PMC4679392,SRR309230
PMC4679392,SRR837425
PMC4679392,SRR309230
PMC4679392,SRR837425
PMC3694655,TCGA
PMC3694655,TCGA
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3288749,GPL96
PMC3371851,ERA000206
PMC3371868,SRR342886
PMC3371868,SRR037689
PMC3381971,SRA012427
PMC3381971,SRA012427
PMC3381971,SRA012427
PMC3381971,SRA012427
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2660872,TCGA
PMC2722999,ERA000083
PMC2734319,GSE13372
PMC2781753,GDS2960
PMC2781753,GDS2960
PMC2781753,GDS2960
PMC2781753,GDS2736
PMC2781753,GDS1875
PMC2781753,GDS2733
PMC2781753,GDS2545
PMC2781753,GDS2733
PMC2781753,GDS1627
PMC2781753,GDS2960
PMC2781753,GDS2960
PMC2781753,GDS2643
PMC2781753,GDS2960
PMC2781753,GDS2960
PMC2781753,GDS2960
PMC2788925,GSE18156
PMC2820675,GSE1004
PMC2820675,GDS563
PMC2820675,GSE1719
PMC2820675,GDS963
PMC2820675,GSE2514
PMC2820675,GDS1650
PMC2853688,GSE3748
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,GPL5737
PMC2881367,GSE8757
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881367,TCGA
PMC2881391,SRA009031
PMC2881391,SRA010177
PMC2881400,SRA000271
PMC2881400,SRA000271
PMC2922896,GSE16997
PMC2922896,GSE19446
PMC2935420,GSE6919
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE3494
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE3494
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE3494
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE10950
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE10950
PMC2935415,GSE6988
PMC2935415,GSE8671
PMC2935415,GSE8671
PMC2935415,GSE3494
PMC2935415,GSE3494
PMC2935415,GSE3494
PMC2935415,GSE3494
PMC2935415,GSE8671
PMC2935415,GSE8671
PMC2935415,GSE3494
PMC2935430,GSE14794
PMC2951093,SRR002320
PMC2951093,SRR039633
PMC2951093,SRR017179
PMC2951093,SRR002320
PMC2951093,SRR039633
PMC2951093,SRR017179
PMC3348561,TCGA
PMC3179659,TCGA
PMC4547610,SRR034940
PMC4547610,ERR233214
PMC4547610,SRR037452
PMC4547610,SRR445718
PMC4547610,SRR490961
PMC4547610,SRR635193
PMC4547610,SRR1294122
PMC4547610,SRR689233
PMC4547610,SRR519063
PMC4547610,SRR034940
PMC4547610,ERR233214
PMC4547610,SRR037452
PMC4547610,SRR445718
PMC4547610,SRR490961
PMC4547610,SRR635193
PMC4547610,SRR1294122
PMC4547610,SRR689233
PMC4547610,SRR519063
PMC4547610,SRR490961
PMC4547610,SRR037452
PMC4547610,SRR1294122
PMC4547610,SRR1294122
PMC3694642,SRA049097
PMC3694642,SRS004212
PMC3694642,SRP000941
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694636,TCGA
PMC3694650,GSE47026
PMC3694680,SRX208132
PMC3694680,SRX208087
PMC3694680,SRX208134
PMC3072547,GSE11508
PMC3712217,SRA067609
PMC3712217,SRA067610
PMC5048062,SRR060714
PMC5048062,SRR060714
PMC5048062,SRR060714
PMC4908367,GSE62789
PMC5167061,GSE35978
PMC5167061,GSE35978
PMC5167063,GSE73628
PMC4978931,GPL3
PMC2682523,SRR001113
PMC2752623,ERR000455
PMC2752623,SRR001154
PMC2781748,GDS1815
PMC2781748,GDS596
PMC2781748,GDS596
PMC2820678,ERA000077
PMC3834796,GSE30611
PMC3834796,GSE30611
PMC3842753,TCGA
PMC3842753,TCGA
PMC4908365,GSE47217
PMC4908365,GSE46705
PMC4908351,SRX447481
PMC4908351,SRX543254
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908356,GTEx
PMC4908343,GSE60034
PMC4908343,GSE64168
PMC4908357,DRA004502
PMC4908340,SRR027956
PMC4908363,SRX016231
PMC4908363,SRA056234
PMC4908363,SRX016231
PMC4908329,GTEx
PMC4908329,GTEx
PMC4908329,GTEx
PMC4908329,GTEx
PMC4908329,GTEx
PMC4908329,GTEx
PMC4908361,SRR1293902
PMC4908362,GSE44183
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
PMC4426832,TCGA
