journal_Name,PMC_ID,repo_ID,repo_Name
Nat_Methods,PMC3518396,GSE37771,NCBI_GEO
Nat_Methods,PMC3443552,ERP000108,EMBL
Nat_Methods,PMC3443552,SRA023632,NCBI_SRA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,GSE15907,NCBI_GEO
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3505039,TCGA,TCGA
Nat_Methods,PMC3589714,GSE31409,NCBI_GEO
Nat_Methods,PMC3589714,GSE31409,NCBI_GEO
Nat_Methods,PMC3589714,GSE6764,NCBI_GEO
Nat_Methods,PMC3589714,GSE15765,NCBI_GEO
Nat_Methods,PMC4927356,GSE80611,NCBI_GEO
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC4149593,TCGA,TCGA
Nat_Methods,PMC3651036,SRP018506,NCBI_SRA
Nat_Methods,PMC3733245,GSE41503,NCBI_GEO
Nat_Methods,PMC3731418,TCGA,TCGA
Nat_Methods,PMC3731418,TCGA,TCGA
Nat_Methods,PMC4002004,GSE43894,NCBI_GEO
Nat_Methods,PMC4002004,GSE43895,NCBI_GEO
Nat_Methods,PMC3773500,TCGA,TCGA
Nat_Methods,PMC4131762,GSE45759,NCBI_GEO
Nat_Methods,PMC4131762,GSE14833,NCBI_GEO
Nat_Methods,PMC4131762,GSE10246,NCBI_GEO
Nat_Methods,PMC4131762,GSE6506,NCBI_GEO
Nat_Methods,PMC3852148,TCGA,TCGA
Nat_Methods,PMC3882083,TCGA,TCGA
Nat_Methods,PMC3851240,SRR023546,NCBI_SRA
Nat_Methods,PMC3851240,SRR023608,NCBI_SRA
Nat_Methods,PMC3851240,SRR023505,NCBI_SRA
Nat_Methods,PMC3851240,SRR027108,NCBI_SRA
Nat_Methods,PMC3851240,SRR026433,NCBI_SRA
Nat_Methods,PMC3851240,SRR065719,NCBI_SRA
Nat_Methods,PMC4018468,ERR033015,EMBL
Nat_Methods,PMC4018468,ERR033016,EMBL
Nat_Methods,PMC3880119,SRX026669,NCBI_SRA
Nat_Methods,PMC3821180,GSE40705,NCBI_GEO
Nat_Methods,PMC3818907,GSE41437,NCBI_GEO
