journalName,Bioinformatics,BMC_Bioinformatics,BMC_Genomics,BMC_Syst_Biol,Genome_Biol,Genome_Med,Nat_Biotechnol,Nat_Methods,Nucleic_Acids_Res,PLoS_Comput_Biol
pctOG,0.758706,0.6619,0.876132,0.678082,0.852265,0.673786,0.867925,0.78629,0.783089,0.608426
pctRE,0.241294,0.3381,0.123868,0.321918,0.147735,0.326214,0.132075,0.21371,0.216911,0.391574
